"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
188,9529,8819,6989,2596,2449,1290,1076,537,530,370,377,204,205,192,220,137,145,121,126,209,661,1220,850,1019,160,292,1363,912,924
189,7101,9568,8893,12035,18538,15532,16055,10002,13019,8307,9241,6390,5459,5197,4950,4188,7063,10159,5788,7497,5984,9147,4367,3946,787,1314,2890,1464,1466
190,5543,7276,7062,6274,8450,5034,4161,2073,2608,2435,3133,2785,2433,2360,2936,2372,2734,3638,2204,3346,2791,5003,2998,3393,698,1333,2927,1599,1871
191,7150,10053,15628,10913,9522,5690,4556,2389,2604,1737,1832,1160,893,918,896,622,717,996,584,873,709,1204,661,474,96,168,350,171,166
192,4886,7343,5390,8638,20686,39782,36905,18725,20904,17400,161451,75649,58571,45864,28257,10583,12054,10095,9598,8818,11872,23850,21739,13791,1962,5297,9420,11821,9204
193,9468,7103,3552,1402,2177,1407,1063,347,401,313,531,317,462,561,404,429,543,335,472,1086,458,743,317,201,44,49,243,146,152
194,4168,6294,4537,3547,7817,7198,4470,2286,3402,2837,4668,3266,3987,5894,3309,2779,3981,3224,2540,2679,4504,3730,4973,2376,739,986,2063,966,1151
195,8456,17343,55214,39815,25300,24625,39717,30138,52658,35326,45379,29918,28595,17612,15965,20460,28839,26377,15307,20430,30449,54872,23971,29574,5304,9613,21576,13446,16938
196,2861,2226,1685,677,665,588,778,572,1785,1536,2467,1626,3011,3175,2298,1715,2409,1846,1496,1376,2189,3604,4222,2391,616,806,1510,1688,1161
197,1658,1522,1105,652,698,468,382,215,247,189,213,122,133,127,143,108,108,139,105,132,87,161,116,121,32,48,109,75,72
198,18447,60980,47867,69657,62551,43536,55908,27017,24336,20578,39486,20746,14833,10043,15588,9119,15685,43899,53474,48574,15985,12657,7575,9556,1770,2178,4004,2023,1960
199,19414,50718,39108,53664,49385,32048,45025,23036,23593,18898,54135,21437,35450,55556,47937,21186,10073,21666,15097,16224,6097,10881,2902,2753,756,1045,2075,1009,1175
200,NA,25,259,156,271,325,651,546,513,137,289,120,101,93,104,157,181,185,185,233,380,784,170,367,141,130,246,142,243
201,471,640,415,348,387,302,216,150,168,141,112,110,79,73,106,70,92,96,59,103,363,448,289,252,69,86,90,57,61
202,959,784,495,355,422,288,277,159,282,148,163,83,49,24,75,76,59,118,116,101,81,364,95,148,42,49,77,55,50
203,2067,4960,7345,7261,12557,5677,3623,1520,1584,880,874,488,433,325,333,188,293,282,277,335,498,650,475,860,197,749,2375,1477,1630
204,1299,1067,752,476,586,567,378,135,152,111,132,100,146,136,81,48,57,68,61,118,93,127,89,171,35,39,85,33,28
205,3755,10335,15627,24643,14569,10663,13292,10102,14027,27448,32331,29273,36657,14153,19617,7817,7447,8088,12604,16183,10334,18038,38244,13824,2942,4380,14148,9874,6822
206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,199,1461,235,363,3947,1778,1897
207,1344,3166,3019,5747,5465,2965,1139,829,1525,2448,2563,1113,866,743,472,183,226,400,393,559,666,1010,704,738,207,124,534,181,197
208,NA,NA,NA,NA,NA,NA,NA,133,145,131,177,182,160,130,178,130,131,186,252,671,895,4886,3037,3738,741,1055,1944,1169,1321
209,5036,5291,3702,2114,2341,1598,1498,849,1121,1475,1186,757,516,336,425,500,626,602,430,565,326,701,316,282,53,62,166,116,188
210,6,106,162,206,224,441,245,57,115,54,60,43,42,47,128,57,55,42,34,33,18,40,62,112,20,31,59,32,48
211,2035,926,463,225,206,136,109,50,66,37,42,29,21,28,20,8,19,16,14,21,9,21,13,12,4,3,7,4,1
212,3432,5190,3505,2708,4074,3554,3391,1810,2587,1078,1454,1148,1481,988,1529,1021,863,3299,2296,2041,839,1098,721,955,161,249,1088,852,638
213,4057,3442,9139,12661,10155,7905,5538,2344,1068,986,779,718,695,848,1653,782,968,2118,1944,7588,2812,3677,1407,1070,266,567,2896,2763,1866
214,NA,NA,NA,NA,NA,1301,987,461,506,320,364,285,222,202,238,164,175,260,157,248,186,395,236,367,93,106,210,75,78
215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,71,32,23,79,32,35
216,104,118,107,71,93,77,70,45,49,40,36,25,24,22,27,22,36,38,29,34,26,41,43,39,11,21,24,16,12
217,2514,2012,4620,2653,3723,4295,1976,845,2627,707,1094,910,1695,1348,1853,1117,1117,1252,720,1225,1710,2820,1737,2286,630,678,1224,828,1081
218,7655,5672,18093,7943,21726,7910,7266,4231,6058,2296,3492,2512,3715,2815,4403,3384,9301,7914,1458,4293,1358,2669,1628,1632,379,716,2706,988,1104
219,516,1170,1232,489,455,328,190,90,146,89,91,56,43,67,44,31,42,34,27,42,19,62,64,47,10,22,47,29,41
220,7058,13527,6109,6259,7052,9826,9467,5569,16307,6442,9902,7323,25533,18526,11819,3637,3851,3445,2735,3188,3188,3869,3037,2641,576,1839,7415,9167,8342
221,845,1261,1312,550,439,283,241,106,130,89,94,66,38,33,47,26,20,44,27,32,15,45,23,19,2,5,15,3,11
222,2120,5023,2832,3859,2843,3871,3400,1327,2895,3182,5037,4619,3633,2594,3177,2848,3364,3785,4111,5236,3627,4475,3698,4258,1222,3519,15051,12539,10067
223,4505,7860,20795,22346,17280,18535,19207,7176,22009,9338,15983,13272,10524,7942,10590,13371,16991,18293,42879,25179,51575,72035,12642,9371,1835,3257,7972,10233,9065
224,635,1329,1017,1168,1034,1223,934,1179,3922,2777,1325,434,358,323,474,650,564,712,700,916,526,803,554,385,91,169,661,355,297
225,49229,74771,70055,51500,60435,39199,35499,21615,24410,31335,26998,11620,10787,10574,11867,10224,13054,15389,8549,16054,14517,34810,19887,12035,2012,4174,14646,7463,7299
226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637,712,184,460,894,488,462
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,212,205,171,141,206,139,135,196,144,251,178,314,193,223,119,162,181,83,75
228,627,615,280,389,376,441,456,272,327,207,280,216,164,200,363,492,464,511,433,475,293,445,393,629,280,498,1925,1358,1541
229,19840,41500,40822,28907,26433,34305,32604,14850,26778,100648,103575,48503,23462,18910,15264,7769,9309,9849,5595,7288,2235,6709,3386,2447,596,787,2083,2551,1798
230,NA,NA,3823,3156,3589,8155,1261,962,1125,1347,2224,3394,3449,1874,2139,1688,1029,2134,1173,4703,3212,7606,2763,11810,2404,1132,1885,526,745
231,55,151,238,57,43,26,15,9,20,6,14,5,1,2,9,7,3,3,4,5,3,7,1,1,0,0,4,1,1
