"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27"
42,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
43,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
44,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
45,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
46,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
47,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
48,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
50,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
52,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
54,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
55,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
58,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
59,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
60,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
61,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
62,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
63,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
64,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
65,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
66,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
68,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF"
