"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35"
"1","1","1","1","1","1","0.991979616","1.108955613","0.968187309","1.110051718","0.956453897","0.893409229","0.941754589","0.978108989","0.97522634","0.937690632","1.109367736","1.086419753","1.150874339","0.9544834","0.992244459","0.936002092","1.068959507","0.970168763","1.112498911","0.946958694","0.889418189","0.948911441","0.998583365","1.113491604","0.922495274","0.951051392","0.95636026","1.122617701","0.948015781"
"1.116739379","0.965480988","1.10025377","0.937490885","1.076068947","0.881873253","1.007615022","0.967657874","1.120059829","0.960388316","0.977258936","0.945996706","1.078768608","0.964136004","1.003755349","0.968482208","0.962343096","0.931299927","1.104397839","1.110175153","0.905103552","1.095197978","0.962063557","1.107851396","0.939378976","1.146807645","0.957388097","0.963945991","0.978345717","0.95657209","0.922495274","0.91964052","0.950557103","1.003103878","0.937572523"
"1","1","1","1","1","0.881873253","1.007615022","0.967657874","1.120059829","0.960388316","0.977258936","0.945996706","1.078768608","0.964136004","1.003755349","0.968482208","0.962343096","0.931299927","1.104397839","1.110175153","0.905103552","1.095197978","0.962063557","1.107851396","0.939378976","1.146807645","0.957388097","0.963945991","0.978345717","0.95657209","0.922495274","0.91964052","0.950557103","1.003103878","0.937572523"
"1","1","1","1","1","1","1","0.967657874","1.120059829","0.960388316","0.977258936","0.945996706","1.078768608","0.964136004","1.003755349","0.968482208","0.962343096","0.931299927","1.104397839","1.110175153","0.905103552","1.095197978","0.962063557","1.107851396","0.939378976","1.146807645","0.957388097","0.963945991","0.978345717","0.95657209","0.922495274","0.91964052","0.950557103","1.003103878","0.937572523"
"1.116739379","0.965480988","1.10025377","0.937490885","1.076068947","0.881873253","1.007615022","0.967657874","1.120059829","0.960388316","0.977258936","0.945996706","1.078768608","0.964136004","1.003755349","0.968482208","0.962343096","0.931299927","1.104397839","1.110175153","0.905103552","1.095197978","0.962063557","1.107851396","0.939378976","1.146807645","0.957388097","0.963945991","0.978345717","0.95657209","0.922495274","0.91964052","0.950557103","1.003103878","0.937572523"
"1.116739379","0.965480988","1.10025377","0.937490885","1.076068947","0.881873253","1.007615022","0.967657874","1.120059829","0.960388316","0.977258936","0.945996706","1.078768608","0.964136004","1.003755349","0.968482208","0.962343096","0.931299927","1.104397839","1.110175153","0.905103552","1.095197978","0.962063557","1.107851396","0.939378976","1.146807645","0.957388097","0.963945991","0.978345717","0.95657209","0.922495274","0.91964052","0.950557103","1.003103878","0.937572523"
"0.952185752","1.106243794","1.031414987","1.001662632","1.070255501","0.974487418","1.113009236","0.925963459","0.961859288","0.954609806","1.109602104","0.948886128","1.080502963","0.94201211","0.942039533","0.941176471","0.891445839","0.968482208","0.989949457","0.93589334","0.95390246","1.068471661","1.004473363","0.930083946","0.96377843","0.939987219","0.941121794","1.096365687","1.152389488","0.953676896","1.11792933","1.117994358","0.955199629","0.948568445","0.957878858"
"0.952185752","1.106243794","1.031414987","1.001662632","1.070255501","0.974487418","1.113009236","0.925963459","0.961859288","0.954609806","1.109602104","0.948886128","1.080502963","0.94201211","0.942039533","0.941176471","0.891445839","0.968482208","0.989949457","0.93589334","0.95390246","1.068471661","1.004473363","0.930083946","0.96377843","0.939987219","0.941121794","1.096365687","1.152389488","0.953676896","1.11792933","1.117994358","0.955199629","0.948568445","0.957878858"
"0.952185752","1.106243794","1.031414987","1.001662632","1.070255501","0.974487418","1.113009236","0.925963459","0.961859288","0.954609806","1.109602104","0.948886128","1.080502963","0.94201211","0.942039533","0.941176471","0.891445839","0.968482208","0.989949457","0.93589334","0.95390246","1.068471661","1.004473363","0.930083946","0.96377843","0.939987219","0.941121794","1.096365687","1.152389488","0.953676896","1.11792933","1.117994358","0.955199629","0.948568445","0.957878858"
"0.861417738","1.075871736","0.960242686","0.959659306","0.978403046","1.110205033","1.108376524","1.119958306","0.954380717","0.95692121","1.120004623","0.980669768","0.970082382","0.945505356","0.949026229","0.958024691","0.965248722","1.01902687","0.935339569","1.068347518","1.153164667","0.966795457","0.981235113","1.061957185","0.969006884","0.939406263","0.978882854","1.118917512","1.099771604","1.079328315","0.906790752","1.108687433","0.970868152","0.938705654","0.941053609"
