"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,0,0,7,0,5,1,0,0,0,1,0,0,6,2,1,6,0,0,0,0,0,0,7,6,2,2,6,1,10
229,7,0,2,5,6,1,6,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,NA,NA,0,0,1,-2,0,0,2,2,6,0,0,1,0,0,15,0,8,1,0,3,9,2,0,0,0,6,7
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,8,6,8,6,1,12,7,6
233,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0
235,NA,0,1,6,6,1,6,6,2,0,6,1,2,1,-2,0,0,0,7,1,0,2,6,0,6,2,8,8,6
236,0,1,2,10,6,1,14,8,6,0,0,1,5,0,2,2,0,0,0,0,0,9,0,0,12,1,6,0,0
237,6,0,2,6,7,1,6,5,5,2,9,1,1,0,1,2,6,0,6,1,0,9,6,2,7,1,8,0,8
238,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,7,5,-2,0,0,0,0,2,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,4,6,0,6,-2,2,7,2,-1,2,3,1,0,0,0,1,1,1,2,0,0,0,0,0,5,2,1,7,8
242,1,0,0,7,-1,0,0,0,0,0,0,0,0,0,0,2,9,-1,2,2,1,1,5,2,0,8,1,5,6
243,0,1,6,6,-1,2,1,1,0,2,7,6,6,0,8,2,1,0,2,1,1,-1,1,1,5,0,0,0,0
244,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,1,8,8,11,0,2,1,2,-1,1,1,7,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
246,0,0,0,1,-1,2,1,2,0,0,1,6,6,-1,2,2,1,0,0,0,0,0,0,0,6,2,1,8,5
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
249,0,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,-1,0,0,1,6,1,0,6,6
250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,1,2,0,0,0,0,0
251,NA,NA,0,0,0,0,0,0,0,0,0,8,14,0,1,-2,0,0,0,1,0,1,1,1,0,2,1,0,0
252,6,7,2,1,6,0,1,2,2,0,0,0,0,0,0,0,0,0,0,5,1,1,14,1,1,1,1,7,2
253,0,0,0,1,6,0,6,2,1,0,2,0,2,-1,6,1,6,5,1,6,1,1,15,2,0,0,0,0,2
254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
256,0,0,0,1,6,1,1,2,2,1,2,0,1,5,6,2,6,1,1,6,6,1,6,2,0,0,0,1,2
257,15,8,2,0,6,1,1,1,2,0,1,0,2,1,7,2,6,1,1,6,2,1,7,2,1,7,1,1,2
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
259,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,6,9,8,1,1,0,0,0,1,1,1,0,1,1,5,2,6,1,1,0,1,0,1,0,1,1,0,0,0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
265,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,2,1,2,1,9,-1,0
266,0,1,1,6,9,1,6,2,0,4,0,1,2,0,5,5,6,8,1,3,0,7,1,2,2,0,11,0,3
267,0,1,0,10,6,4,8,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,1,0,0,0,0,4,4,1,1,-1,0,1,2,0,1,6,6,5,1,1,0,3,2,1,0,0,0,0,0
269,-1,1,1,0,0,1,0,0,0,1,0,1,2,0,7,9,7,6,1,0,0,4,2,1,2,1,6,0,0
270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0
271,0,0,0,6,9,0,6,1,1,0,-1,1,2,1,0,5,5,0,1,0,0,4,0,0,0,0,0,0,1
272,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3,1,1,2,1,1,1,0
273,-1,0,1,5,6,1,9,2,1,1,0,1,2,-1,1,8,6,6,1,0,0,4,2,2,2,1,5,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
276,5,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
277,0,1,0,0,3,0,9,2,0,0,2,1,3,0,2,0,3,3,4,0,3,0,5,7,2,5,1,0,2
278,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,1,1,2,2,1,0,0,0,0,0
279,11,10,5,2,9,3,3,3,1,3,2,0,1,0,0,0,0,0,1,0,3,0,0,0,1,13,2,2,2
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
281,2,2,1,3,0,1,0,1,13,6,1,6,0,17,2,2,3,11,7,2,0,1,0,6,4,2,2,2,2
282,6,2,1,6,3,6,3,0,12,9,6,3,6,10,6,2,0,0,0,0,0,0,1,0,2,20,0,2,0
283,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,3,3,2,5,1,8,1,2,0,1,2,0,1
284,10,2,1,3,3,3,3,5,5,2,1,2,3,3,2,2,3,2,7,2,2,2,1,5,2,2,2,2,4
285,1,0,0,0,0,0,2,1,1,1,1,1,1,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0
286,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,2,2,2,13,2,5,6
287,NA,0,1,0,1,0,2,1,8,2,3,8,1,2,1,1,2,1,1,2,0,8,1,1,2,8,7,6,2
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,1,1,1,1,1,1
289,1,1,3,2,2,2,1,8,3,2,9,2,2,3,2,0,1,3,3,1,2,7,2,0,0,2,1,9,2
290,2,2,3,4,7,3,2,3,1,1,1,1,2,1,1,1,1,2,3,2,3,0,1,2,4,1,2,1,1
291,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,2,2,3,2,2,3,2,1,7,2,3,5,2,3,2,2,2,3,3,2,3,1,2,2,2,5,2,2,2
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,2,2,3,2,2,6,2,2,3,2,3,2,2,3,2,2,2,2,3,1,3,2,2,2,2,1,7,5,1
298,1,2,1,2,2,0,0,0,1,0,3,7,3,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
300,2,2,0,1,2,0,1,0,0,0,0,0,0,1,10,2,2,1,2,2,15,0,5,9,3,2,5,2,0
301,0,0,2,2,1,2,0,2,0,0,0,1,1,0,0,0,1,0,2,12,2,1,1,1,3,1,1,9,1
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
304,1,1,0,1,7,2,1,1,2,1,3,4,2,2,1,1,0,2,2,2,2,5,9,3,6,5,1,0,0
305,0,0,0,0,0,0,3,2,1,2,0,1,1,1,2,4,1,2,0,1,2,2,2,2,3,2,2,5,2
306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
307,1,1,0,0,2,0,2,0,1,1,3,2,3,2,0,0,0,1,2,1,0,1,1,0,1,1,0,0,0
308,0,0,0,0,0,1,3,2,13,2,0,0,0,0,2,2,2,1,1,0,0,0,0,4,12,1,7,2,2
309,2,2,2,0,10,2,3,2,9,2,5,6,3,2,7,5,0,2,2,0,0,0,0,0,0,0,0,0,1
310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
311,0,0,2,0,10,2,2,1,2,0,0,0,0,0,1,11,6,3,2,5,3,2,0,2,1,0,1,0,0
312,1,2,8,2,6,3,3,2,2,3,3,6,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,5,2,2,3,1,2,3,2,1,2,3,11,2,2,2,3,3,3,2,1,3,2,2,2,2,1,2,2,2
314,5,2,2,3,2,3,2,1,2,3,3,3,2,3,2,3,3,3,1,7,3,2,1,1,0,0,0,0,0
315,2,2,1,3,1,1,0,4,1,5,6,3,2,5,2,6,3,3,2,1,3,8,2,2,2,10,2,2,5
316,2,2,0,0,0,3,9,1,2,8,3,6,2,2,2,1,3,3,2,2,3,2,2,2,2,2,1,5,1
317,0,0,1,0,0,0,0,0,0,1,4,2,2,3,3,1,6,2,1,1,2,1,1,0,1,2,3,2,2
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
323,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1
324,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
325,0,2,1,2,1,6,2,9,5,3,2,3,2,0,1,1,9,3,3,3,1,2,3,3,2,-2,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,1,0,0,1,9,1,0,0,0,0,0,2,2
329,-1,0,11,2,3,1,2,5,2,3,3,8,1,3,2,2,0,1,1,7,0,1,1,0,0,0,3,1,2
330,0,0,0,1,1,1,2,2,5,11,3,18,8,1,15,2,3,6,3,3,0,10,1,16,2,8,16,6,2
331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0
332,2,2,3,10,3,2,2,0,0,0,3,3,2,8,2,3,3,3,3,3,3,2,2,3,2,2,3,1,0
333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
334,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,4,3,2,1,8,1,1,12,3,0,1,1,3,0,1,7,3,3,0,7,0,1,0,2,2,3,1,2
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,6,3,3,1,3,3,1,2,4,1,1,1,6,3,1,1,16,3,3,1,17,1,1,12,0,1,1,9,2
338,0,0,0,3,1,1,2,7,1,2,2,2,5,3,0,5,2,3,3,1,2,1,0,2,1,2,2,0,0
339,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
341,2,2,0,0,2,2,0,0,1,5,2,5,7,3,3,2,2,6,7,2,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,0,1,2,2,1,0,1,2,2,0,0,8,1,1,3,0,9,3,1,1,0,9,3,2,2,2,2,2,2
345,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,3,7,1,10,8,2,2
346,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,1,1,1,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
349,0,0,0,0,1,1,2,0,1,1,1,0,0,0,1,1,6,6,1,1,0,1,9,2,1,0,0,0,0
350,1,2,2,2,2,2,2,2,2,6,1,2,6,3,3,2,2,8,2,12,3,5,0,0,5,2,2,3,6
351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,2
352,2,0,0,0,0,0,0,7,3,7,2,7,2,3,3,4,5,8,1,4,3,2,3,2,2,2,0,0,0
353,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
354,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,0,2,0,1,1
356,1,2,1,1,2,6,1,1,1,1,2,0,0,2,2,1,1,1,1,3,0,2,0,0,2,1,7,2,1
357,3,2,1,1,2,2,2,3,-1,1,2,2,2,3,3,1,3,2,1,0,9,0,2,0,2,2,3,1,2
358,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,1,0,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0
361,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,3,-1,0,2,2,1,2,2,0,0,0,1,2,0,1,0,3,2,3,3,2,2,1,1,1,2,1,0,0
363,0,1,2,2,2,2,2,2,2,1,2,8,7,5,9,1,3,9,3,3,2,0,2,2,5,0,12,2,2
364,NA,NA,0,1,0,0,2,2,2,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0
365,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,15,2,1,2,2
366,3,2,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,1,3,2,0,2,2,3,0,1,2,0,3,1,-1,0,2,3,0,2,1,2,1,2,2,1
369,3,3,3,2,2,3,2,2,5,2,3,2,2,0,2,3,2,2,2,10,1,2,2,1,1,1,2,1,1
370,3,6,3,2,2,3,1,2,1,1,3,2,0,2,2,3,2,6,0,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,7,0,0,0,0,0,0
372,6,10,3,2,2,3,2,1,7,2,3,2,2,1,2,3,2,15,2,2,3,2,5,2,2,1,7,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,12,6,1
375,NA,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
