"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
44,"SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU"
45,"SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU"
46,NA,"SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU","SOU"
47,"STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK"
48,"STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK"
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK","STK"
50,"SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA"
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA"
52,"SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA","SWA"
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT","TOT"
