"FirstName_1","Surname_1","PositionsList.x","Team","index","PositionsList.y","points"
"Pascal","Gro?","MID","BHA",286,"MID",36
"Leroy","Sane","MID","MCI",414,"MID",13
"Eric Maxim","Choupo-Moting","MID","STK",458,"MID",15
"Danny","Welbeck","FWD","ARS",541,"FWD",16
"","Jesus","FWD","MCI",582,"FWD",12
"Harry","Kane","FWD","TOT",606,"FWD",13
"Lukasz","Fabianski","GLK","SWA",50,"GLK",11
"Nacho","Monreal","DEF","ARS",78,"DEF",9
"Antonio","Valencia","DEF","MUN",186,"DEF",15
"Jamaal","Lascelles","DEF","NEW",192,"DEF",8
"Kieran","Trippier","DEF","TOT",236,"DEF",6
"Pascal","Gro?","MID","BHA",286,"MID",7
"Mohamed","Salah","MID","LIV",400,"MID",10
"David","Silva","MID","MCI",405,"MID",11
"Matt","Ritchie","MID","NEW",440,"MID",11
"Laurent","Depoitre","FWD","HUD",570,"FWD",9
"Sergio","Aguero","FWD","MCI",581,"FWD",40
"de","Gea","GLK","MUN",37,"GLK",8
"Nacho","Monreal","DEF","ARS",78,"DEF",7
"Stephen","Ward","DEF","BUR",103,"DEF",8
"Cesar","Azpilicueta","DEF","CHE",105,"DEF",14
"Philippe","Coutinho","MID","LIV",394,"MID",13
"David","Silva","MID","MCI",405,"MID",11
"Leroy","Sane","MID","MCI",414,"MID",16
"Raheem","Sterling","MID","MCI",415,"MID",13
"Alvaro","Morata","FWD","CHE",559,"FWD",34
"Tammy","Abraham","FWD","SWA",601,"FWD",8
"Harry","Kane","FWD","TOT",606,"FWD",13
"de","Gea","GLK","MUN",37,"GLK",6
"Nacho","Monreal","DEF","ARS",78,"DEF",15
"Stephen","Ward","DEF","BUR",103,"DEF",12
"Christian","Fuchs","DEF","LEI",152,"DEF",9
"Ben","Davies","DEF","TOT",232,"DEF",32
"Kieran","Trippier","DEF","TOT",236,"DEF",14
"Philippe","Coutinho","MID","LIV",394,"MID",10
"De","Bruyne","MID","MCI",406,"MID",11
"Marouane","Fellaini","MID","MUN",419,"MID",16
"Mame Biram","Diouf","FWD","STK",599,"FWD",9
"Harry","Kane","FWD","TOT",606,"FWD",13
"de","Gea","GLK","MUN",37,"GLK",9
"Per","Mertesacker","DEF","ARS",77,"DEF",9
"Phil","Jones","DEF","MUN",180,"DEF",7
"Kieran","Trippier","DEF","TOT",236,"DEF",8
"De","Bruyne","MID","MCI",406,"MID",9
"Leroy","Sane","MID","MCI",414,"MID",10
"Raheem","Sterling","MID","MCI",415,"MID",30
"Christian","Eriksen","MID","TOT",484,"MID",11
"Tom","Cleverley","MID","WAT",498,"MID",10
"Mame Biram","Diouf","FWD","STK",599,"FWD",9
"Tammy","Abraham","FWD","SWA",601,"FWD",13
"Robert","Elliot","GLK","NEW",42,"GLK",7
"Nacho","Monreal","DEF","ARS",78,"DEF",7
"Nicolas","Otamendi","DEF","MCI",174,"DEF",15
"Kieran","Trippier","DEF","TOT",236,"DEF",6
"Mesut","Ozil","MID","ARS",281,"MID",13
"Aaron","Ramsey","MID","ARS",282,"MID",12
"Junior","Stanislas","MID","BOU",308,"MID",13
"","Pedro","MID","CHE",335,"MID",12
"Leroy","Sane","MID","MCI",414,"MID",12
"Glenn","Murray","FWD","BHA",545,"FWD",13
"Harry","Kane","FWD","TOT",606,"FWD",32
"de","Gea","GLK","MUN",37,"GLK",9
"Sead","Kolasinac","DEF","ARS",74,"DEF",28
"Christian","Fuchs","DEF","LEI",152,"DEF",12
"James","Milner","DEF","LIV",164,"DEF",12
"Phil","Jones","DEF","MUN",180,"DEF",9
"Aaron","Ramsey","MID","ARS",282,"MID",9
"Eden","Hazard","MID","CHE",330,"MID",11
"","Fernandinho","MID","MCI",409,"MID",13
"Leroy","Sane","MID","MCI",414,"MID",12
"Darren","Fletcher","MID","STK",459,"MID",11
"Glenn","Murray","FWD","BHA",545,"FWD",6
"Nick","Pope","GLK","BUR",15,"GLK",8
"Steve","Cook","DEF","BOU",96,"DEF",15
"Cesar","Azpilicueta","DEF","CHE",105,"DEF",12
"Leighton","Baines","DEF","EVE",127,"DEF",12
"Scott","Malone","DEF","HUD",144,"DEF",12
"Sadio","Mane","MID","LIV",399,"MID",10
"Mohamed","Salah","MID","LIV",400,"MID",30
"De","Bruyne","MID","MCI",406,"MID",10
"Xherdan","Shaqiri","MID","STK",463,"MID",13
"Alvaro","Morata","FWD","CHE",559,"FWD",8
"Oumar","Niasse","FWD","EVE",566,"FWD",9
"Nick","Pope","GLK","BUR",15,"GLK",8
"Heurelho","Gomes","GLK","WAT",58,"GLK",7
"Laurent","Koscielny","DEF","ARS",75,"DEF",8
"Shkodran","Mustafi","DEF","ARS",79,"DEF",14
"Marcos","Alonso","DEF","CHE",104,"DEF",14
"Leighton","Baines","DEF","EVE",127,"DEF",7
"Marvin","Zeegelaar","DEF","WAT",251,"DEF",8
"Eden","Hazard","MID","CHE",330,"MID",36
"Philippe","Coutinho","MID","LIV",394,"MID",13
"Mohamed","Salah","MID","LIV",400,"MID",16
"De","Bruyne","MID","MCI",406,"MID",8
"Will","Hughes","MID","WAT",501,"MID",14
"Callum","Wilson","FWD","BOU",551,"FWD",17
"Alvaro","Morata","FWD","CHE",559,"FWD",9
"Oumar","Niasse","FWD","EVE",566,"FWD",10
"Heurelho","Gomes","GLK","WAT",58,"GLK",8
"Laurent","Koscielny","DEF","ARS",75,"DEF",9
"Shkodran","Mustafi","DEF","ARS",79,"DEF",7
"Mamadou","Sakho","DEF","CRY",121,"DEF",11
"Marvin","Zeegelaar","DEF","WAT",251,"DEF",28
"Eden","Hazard","MID","CHE",330,"MID",8
"Mohamed","Salah","MID","LIV",400,"MID",7
"Raheem","Sterling","MID","MCI",415,"MID",13
"Will","Hughes","MID","WAT",501,"MID",8
"Will","Hughes","MID","WAT",501,"MID",8
"Will","Hughes","MID","WAT",501,"MID",8
"Will","Hughes","MID","WAT",501,"MID",8
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",2
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Charlie","Austin","FWD","SOU",592,"FWD",13
"Harry","Kane","FWD","TOT",606,"FWD",8
"Jordan","Pickford","GLK","EVE",23,"GLK",13
"Antonio","Rudiger","DEF","CHE",111,"DEF",15
"Mamadou","Sakho","DEF","CRY",121,"DEF",9
"Ashley","Williams","DEF","EVE",137,"DEF",12
"Mesut","Ozil","MID","ARS",281,"MID",34
"Mohamed","Salah","MID","LIV",400,"MID",13
"De","Bruyne","MID","MCI",406,"MID",13
"Jesse","Lingard","MID","MUN",421,"MID",12
"Ashley","Young","MID","MUN",429,"MID",15
"Will","Hughes","MID","WAT",501,"MID",1
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Olivier","Giroud","FWD","CHE",558,"FWD",11
"Alvaro","Morata","FWD","CHE",559,"FWD",1
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Wayne","Rooney","FWD","EVE",567,"FWD",15
"Jordan","Pickford","GLK","EVE",23,"GLK",9
"Mamadou","Sakho","DEF","CRY",121,"DEF",8
"Nicolas","Otamendi","DEF","MCI",174,"DEF",11
"Angelo","Ogbonna","DEF","WHU",269,"DEF",7
"Eden","Hazard","MID","CHE",330,"MID",15
"Philippe","Coutinho","MID","LIV",394,"MID",36
"Mohamed","Salah","MID","LIV",400,"MID",5
"David","Silva","MID","MCI",405,"MID",9
"Jesse","Lingard","MID","MUN",421,"MID",15
"Will","Hughes","MID","WAT",501,"MID",0
"Callum","Wilson","FWD","BOU",551,"FWD",1
"Alvaro","Morata","FWD","CHE",559,"FWD",8
"Dominic","Calvert-Lewin","FWD","EVE",565,"FWD",12
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Roberto","Firmino","FWD","LIV",577,"FWD",13
"Nick","Pope","GLK","BUR",15,"GLK",6
"Christopher","Schindler","DEF","HUD",145,"DEF",11
"Nicolas","Otamendi","DEF","MCI",174,"DEF",11
"Angelo","Ogbonna","DEF","WHU",269,"DEF",9
"Scott","Arfield","MID","BUR",311,"MID",11
"Mohamed","Salah","MID","LIV",400,"MID",11
"David","Silva","MID","MCI",405,"MID",8
"Heung-Min","Son","MID","TOT",489,"MID",32
"Will","Hughes","MID","WAT",501,"MID",0
"Jermain","Defoe","FWD","BOU",548,"FWD",13
"Callum","Wilson","FWD","BOU",551,"FWD",1
"Alvaro","Morata","FWD","CHE",559,"FWD",2
"Oumar","Niasse","FWD","EVE",566,"FWD",1
"Steve","Mounie","FWD","HUD",571,"FWD",13
"Harry","Kane","FWD","TOT",606,"FWD",12
"Nick","Pope","GLK","BUR",15,"GLK",11
"Laurent","Koscielny","DEF","ARS",75,"DEF",9
"Ragnar","Klavan","DEF","LIV",161,"DEF",9
"Serge","Aurier","DEF","TOT",230,"DEF",15
"Angelo","Ogbonna","DEF","WHU",269,"DEF",7
"","Willian","MID","CHE",337,"MID",16
"David","Silva","MID","MCI",405,"MID",16
"Raheem","Sterling","MID","MCI",415,"MID",9
"Heung-Min","Son","MID","TOT",489,"MID",8
"Will","Hughes","MID","WAT",501,"MID",0
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",0
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Wayne","Rooney","FWD","EVE",567,"FWD",8
"Shinji","Okazaki","FWD","LEI",575,"FWD",32
"Nick","Pope","GLK","BUR",15,"GLK",6
"Laurent","Koscielny","DEF","ARS",75,"DEF",8
"Marcos","Alonso","DEF","CHE",104,"DEF",14
"Dejan","Lovren","DEF","LIV",162,"DEF",13
"Aaron","Mooy","MID","HUD",372,"MID",30
"Ilkay","Gundogan","MID","MCI",412,"MID",13
"Raheem","Sterling","MID","MCI",415,"MID",12
"Jesse","Lingard","MID","MUN",421,"MID",10
"Will","Hughes","MID","WAT",501,"MID",0
"Manuel","Lanzini","MID","WHU",531,"MID",15
"Callum","Wilson","FWD","BOU",551,"FWD",0
"Alvaro","Morata","FWD","CHE",559,"FWD",1
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Wayne","Rooney","FWD","EVE",567,"FWD",13
"Roberto","Firmino","FWD","LIV",577,"FWD",12
"Jordan","Pickford","GLK","EVE",23,"GLK",9
"Marcos","Alonso","DEF","CHE",104,"DEF",6
"Cesar","Azpilicueta","DEF","CHE",105,"DEF",6
"Serge","Aurier","DEF","TOT",230,"DEF",8
"Raheem","Sterling","MID","MCI",415,"MID",13
"Juan","Mata","MID","MUN",423,"MID",15
"Christian","Atsu","MID","NEW",431,"MID",15
"Eric Maxim","Choupo-Moting","MID","STK",458,"MID",13
"Will","Hughes","MID","WAT",501,"MID",0
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",0
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Roberto","Firmino","FWD","LIV",577,"FWD",11
"Sergio","Aguero","FWD","MCI",581,"FWD",16
"Harry","Kane","FWD","TOT",606,"FWD",34
"Jordan","Pickford","GLK","EVE",23,"GLK",10
"Marcos","Alonso","DEF","CHE",104,"DEF",14
"Cesar","Azpilicueta","DEF","CHE",105,"DEF",12
"Trent","Alexander-Arnold","DEF","LIV",157,"DEF",14
"Raheem","Sterling","MID","MCI",415,"MID",11
"Jesse","Lingard","MID","MUN",421,"MID",13
"Bamidele","Alli","MID","TOT",481,"MID",15
"Heung-Min","Son","MID","TOT",489,"MID",14
"Will","Hughes","MID","WAT",501,"MID",0
"Marko","Arnautovic","MID","WHU",523,"MID",15
"Callum","Wilson","FWD","BOU",551,"FWD",7
"Alvaro","Morata","FWD","CHE",559,"FWD",6
"Oumar","Niasse","FWD","EVE",566,"FWD",1
"Roberto","Firmino","FWD","LIV",577,"FWD",13
"Harry","Kane","FWD","TOT",606,"FWD",34
"","Ederson","GLK","MCI",36,"GLK",14
"Laurent","Koscielny","DEF","ARS",75,"DEF",9
"Gaetan","Bong","DEF","BHA",80,"DEF",9
"Antonio","Rudiger","DEF","CHE",111,"DEF",14
"Christopher","Schindler","DEF","HUD",145,"DEF",9
"Phil","Jones","DEF","MUN",180,"DEF",9
"Ryan","Fraser","MID","BOU",300,"MID",15
"Daniel","Drinkwater","MID","CHE",328,"MID",9
"","Willian","MID","CHE",337,"MID",34
"Mohamed","Salah","MID","LIV",400,"MID",14
"Will","Hughes","MID","WAT",501,"MID",0
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",2
"Oumar","Niasse","FWD","EVE",566,"FWD",4
"Jamie","Vardy","FWD","LEI",576,"FWD",9
"Kasper","Schmeichel","GLK","LEI",31,"GLK",6
"Marcos","Alonso","DEF","CHE",104,"DEF",7
"Ragnar","Klavan","DEF","LIV",161,"DEF",11
"Jamaal","Lascelles","DEF","NEW",192,"DEF",8
"Marc","Albrighton","MID","LEI",380,"MID",13
"Riyad","Mahrez","MID","LEI",386,"MID",28
"Anthony","Martial","MID","MUN",422,"MID",11
"Bamidele","Alli","MID","TOT",481,"MID",10
"Heung-Min","Son","MID","TOT",489,"MID",12
"Will","Hughes","MID","WAT",501,"MID",0
"Callum","Wilson","FWD","BOU",551,"FWD",6
"Alvaro","Morata","FWD","CHE",559,"FWD",2
"Oumar","Niasse","FWD","EVE",566,"FWD",2
"Sergio","Aguero","FWD","MCI",581,"FWD",6
"Andy","Carroll","FWD","WHU",619,"FWD",12
"Kasper","Schmeichel","GLK","LEI",31,"GLK",11
"Antonio","Valencia","DEF","MUN",186,"DEF",15
"Craig","Dawson","DEF","WBA",252,"DEF",14
"Jonny","Evans","DEF","WBA",253,"DEF",15
"Anthony","Martial","MID","MUN",422,"MID",12
"James","Ward-Prowse","MID","SOU",452,"MID",15
"Heung-Min","Son","MID","TOT",489,"MID",13
"Will","Hughes","MID","WAT",501,"MID",0
"Marko","Arnautovic","MID","WHU",523,"MID",32
"Manuel","Lanzini","MID","WHU",531,"MID",14
"Callum","Wilson","FWD","BOU",551,"FWD",12
"Callum","Wilson","FWD","BOU",551,"FWD",12
"Callum","Wilson","FWD","BOU",551,"FWD",12
"Callum","Wilson","FWD","BOU",551,"FWD",12
"Alvaro","Morata","FWD","CHE",559,"FWD",1
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Harry","Kane","FWD","TOT",606,"FWD",13
"Kasper","Schmeichel","GLK","LEI",31,"GLK",9
"Laurent","Koscielny","DEF","ARS",75,"DEF",10
"Nacho","Monreal","DEF","ARS",78,"DEF",16
"Victor","Moses","DEF","CHE",110,"DEF",17
"Alfie","Mawson","DEF","SWA",222,"DEF",15
"Eden","Hazard","MID","CHE",330,"MID",16
"","Willian","MID","CHE",337,"MID",12
"Anthony","Martial","MID","MUN",422,"MID",10
"Joe","Allen","MID","STK",455,"MID",11
"Will","Hughes","MID","WAT",501,"MID",0
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",0
"Oumar","Niasse","FWD","EVE",566,"FWD",7
"Sergio","Aguero","FWD","MCI",581,"FWD",34
"Harry","Kane","FWD","TOT",606,"FWD",8
"Nick","Pope","GLK","BUR",15,"GLK",11
"Nacho","Monreal","DEF","ARS",78,"DEF",8
"Nathan","Ake","DEF","BOU",90,"DEF",14
"Jamaal","Lascelles","DEF","NEW",192,"DEF",10
"Kieran","Trippier","DEF","TOT",236,"DEF",12
"Junior","Stanislas","MID","BOU",308,"MID",12
"Theo","Walcott","MID","EVE",365,"MID",15
"Emre","Can","MID","LIV",392,"MID",14
"De","Bruyne","MID","MCI",406,"MID",14
"Sam","Clucas","MID","SWA",470,"MID",30
"Will","Hughes","MID","WAT",501,"MID",0
"Callum","Wilson","FWD","BOU",551,"FWD",12
"Callum","Wilson","FWD","BOU",551,"FWD",12
"Callum","Wilson","FWD","BOU",551,"FWD",12
"Callum","Wilson","FWD","BOU",551,"FWD",12
"Alvaro","Morata","FWD","CHE",559,"FWD",0
"Oumar","Niasse","FWD","EVE",566,"FWD",2
"Loris","Karius","GLK","LIV",32,"GLK",9
"Shkodran","Mustafi","DEF","ARS",79,"DEF",5
"","Danilo","DEF","MCI",169,"DEF",10
"Chris","Smalling","DEF","MUN",184,"DEF",8
"Federico","Fernandez","DEF","SWA",220,"DEF",10
"Henrikh","Mkhitaryan","MID","ARS",279,"MID",13
"Aaron","Ramsey","MID","ARS",282,"MID",40
"Pascal","Gro?","MID","BHA",286,"MID",13
"Mohamed","Salah","MID","LIV",400,"MID",15
"Gerard","Deulofeu","MID","WAT",499,"MID",13
"Will","Hughes","MID","WAT",501,"MID",0
"Glenn","Murray","FWD","BHA",545,"FWD",6
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",0
"Oumar","Niasse","FWD","EVE",566,"FWD",2
"Loris","Karius","GLK","LIV",32,"GLK",8
"Victor","Moses","DEF","CHE",110,"DEF",12
"Kyle","Naughton","DEF","SWA",223,"DEF",11
"Ben","Davies","DEF","TOT",232,"DEF",12
"Eden","Hazard","MID","CHE",330,"MID",16
"Gylfi","Sigurdsson","MID","EVE",363,"MID",12
"Mohamed","Salah","MID","LIV",400,"MID",13
"De","Bruyne","MID","MCI",406,"MID",13
"Ki","Sung-yueng","MID","SWA",474,"MID",11
"Will","Hughes","MID","WAT",501,"MID",0
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",4
"Oumar","Niasse","FWD","EVE",566,"FWD",12
"Steve","Mounie","FWD","HUD",571,"FWD",15
