"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,6,8,9,25,27,27,27,29,29,29,29,29,30,31,32,33,34,35,36,36,37,38,40,40,40,40,41,43,44,45,45,47,63,64,66
542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2
543,1,2,4,15,17,26,26,26,26,26,27,27,28,29,29,30,32,33,38,40,41,41,41,43,43,43,43,43,43,43,43,43,43,43,43
544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,7,8,8,10,10,14,14
545,1,3,3,3,4,4,5,7,20,26,34,35,36,38,44,46,47,47,48,49,51,59,61,62,70,76,78,90,97,99,99,99,101,109,109
546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,4,4,5,6,7,7,7,8,8,8,9,11,11
547,2,3,4,4,5,6,7,7,12,14,14,14,15,15,16,17,18,18,19,20,21,23,24,24,24,24,24,24,24,24,24,24,24,24,24
548,1,2,4,6,13,15,17,18,18,19,20,20,20,24,25,38,39,41,41,41,41,41,41,41,41,41,41,42,42,43,44,50,52,55,55
549,2,4,6,8,10,17,19,21,21,21,23,28,29,36,38,40,42,43,43,48,52,52,52,53,54,60,61,63,71,72,77,86,91,95,95
550,0,1,2,3,3,4,4,5,7,7,7,7,7,7,7,7,7,7,8,8,9,10,11,11,12,20,20,21,22,24,25,25,30,32,32
551,0,0,0,0,0,0,0,0,0,1,3,20,22,24,25,26,28,28,30,37,39,45,57,59,71,73,75,77,79,81,83,85,87,90,90
552,0,0,1,2,3,4,5,6,7,9,10,17,19,20,21,22,28,28,29,34,36,38,40,42,43,44,46,52,59,66,66,72,74,82,89
