"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
238,53795,16471,4454,2363,2804,3002,2336,2095,2382,1556,1537,874,933,772,1008,624,513,990,738,938,602,1462,1969,3745,605,1162,3108,1674,1336
239,21454,87504,724,72,78,444,169,304,912,410,477,795,62,34,41,19,18,12,20,23,5,18,11,16,8,7,11,49,55
240,16,57,23,8,10,6,7,5,8,8,7,11,5,5,3,6,10,9,17,9,4,15,17,5,3,11,10,10,7
241,6886,10206,1654,3870,1552,1052,1100,1436,6213,1670,3660,1003,432,297,558,1159,2044,1282,505,1236,114,594,113,112,65,244,582,5248,1739
242,196,41,34,1952,821,561,168,118,306,163,201,137,88,84,133,320,7884,1487,586,3828,231,1286,1119,689,47,2176,2861,6586,6006
243,28,162,390,2849,791,1067,239,291,1051,325,1985,8916,3890,3874,48629,45133,33241,9822,3932,19422,1092,5367,1333,1341,243,343,40,19,19
244,1406,66,109,1060,217,135,49,26,30,24,61,41,13,17,24,11,12,15,11,15,7,19,14,12,6,7,28,10,12
245,271,15065,20861,111451,80268,55579,13269,10737,32863,4625,8284,16099,30331,20804,45282,3081,925,210,202,161,345,637,193,132,39,129,263,2976,314
246,5592,5016,2883,7355,4232,21733,16493,22565,31958,11487,14350,29563,37369,19399,27483,26941,18668,14838,7478,10939,4327,8391,3763,3408,3263,4771,16876,50089,22885
247,3305,3429,2366,2616,2946,3263,1708,990,1204,624,8578,6922,4827,4898,6395,3921,3231,5275,3445,6213,5636,4200,214,219,31,90,215,115,98
248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,707,288,288
249,221,2895,3250,139,53,159,89,52,65,41,70,491,228,337,734,187,376,414,444,409,96,298,120,182,257,274,517,2722,1598
250,8,8,40,27,46,55,31,40,61,26,41,44,25,19,34,26,23,40,23,2709,260,695,442,84,0,5,30,21,14
251,NA,NA,334,40,48,47,45,37,57,43,62,2825,33887,20968,29825,714,159,168,1043,8098,647,2439,668,1845,119,410,730,209,245
252,12378,32304,14801,7532,4835,5962,808,735,129,41,32,11,11,10,14,8,6,11,74,536,230,1068,5406,5874,1673,1115,3133,3446,2543
253,875,733,7327,4526,4166,4698,4921,2158,422,2151,1125,403,1716,1128,2146,412,804,5338,2067,7496,2609,5908,49597,5064,499,391,3760,1053,878
254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,468,356,450,311,733,405,399,94,206,702,307,284
255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866,2044,725,740,141,90
256,135,281,7437,1290,2005,4252,1286,1004,1014,1277,536,254,1049,1511,2232,431,1137,2921,1169,2804,2903,3705,2938,2125,73,52,993,281,524
257,288214,498592,234457,55848,59598,49007,13658,12824,10026,11042,7034,2839,18391,15758,34223,7237,20857,46625,20400,73096,32877,72952,50805,42186,12077,40096,52510,15383,12863
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,821,415,372
259,291,272,366,344,530,489,232,234,399,546,263,140,201,191,199,60,51,141,92,102,74,234,204,96,86,94,222,71,61
260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,245,129,265,218,255,189,398,278,209,62,8,10,6,3
261,2537,32834,100411,23028,3411,3678,399,271,243,488,151,59,634,786,661,67,328,1112,463,254,162,647,145,126,112,44,136,25,34
262,4316,5342,3499,1273,118,137,66,29,45,36,26,21,22,29,16,9,8,13,19,21,15,33,16,12,3,8,23,14,10
263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1283,1260,210,14,21,14,9
264,112,84,140,98,140,119,95,103,164,79,56,31,22,21,28,23,11,24,15,99,59,155,50,329,132,188,224,85,88
265,336,222,330,4551,471,105,56,135,118,45,49,24,15,9,22,12,52,1526,171,1838,3795,507,2362,2004,294,303,8805,1174,76
266,941,2273,2736,3046,5936,25779,7320,10165,1186,961,1439,1118,625,230,799,2818,8992,92057,13466,18818,93004,22439,23369,10155,1771,1596,11518,8215,12500
267,1459,1759,888,2964,3995,24276,14528,20240,4455,220,50,30,22,21,21,11,10,33,11,14,16,22,23,23,5,71,127,7,0
268,1237,452,172,152,117,1964,2105,1677,884,269,235,226,510,219,564,8503,15535,52562,9859,6365,26991,20156,12704,3411,15,31,81,30,99
269,1610,1839,1691,404,554,2025,434,274,503,430,502,821,725,325,2423,19907,48698,152824,38714,22694,84032,25909,15888,10172,1207,924,4134,2651,1051
270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,3,2,0
271,1574,116,167,534,2957,3246,1185,1364,428,54,270,268,131,38,24,683,244,3008,798,485,2698,816,31,27,6,54,13,79,10
272,122,468,386,91,82,83,49,43,54,71,56,46,31,37,155,68,55,128,55,62,64,900,215,261,104,80,85,55,120
273,3978,2151,2373,1753,2996,5338,6827,6861,3125,148,1196,919,579,375,760,3568,5893,22289,7500,3778,20487,10817,5397,5289,595,772,1870,1428,1279
274,82,54,67,48,53,45,39,27,32,23,33,12,18,20,24,15,17,26,13,15,21,44,35,23,15,45,31,22,15
275,1723,1747,1596,340,203,194,1676,1019,1408,629,1177,903,453,352,424,222,196,247,169,326,159,348,6,10,3,8,12,5,2
276,75847,17052,5550,3006,3643,10236,6776,11167,5683,1823,1573,7553,4874,3789,4852,2657,1348,9913,5481,6874,5686,8854,5690,19984,5532,4856,14936,5032,3387
277,1332,751,356,321,3068,933,25188,6307,2067,368,1243,596,787,204,1075,383,1116,952,1602,880,680,2232,3849,21560,959,3433,1783,881,876
278,NA,NA,NA,NA,154,196,153,72,70,38,55,32,20,18,25,24,94,456,589,412,410,5386,2883,1544,124,157,199,84,173
279,195772,276659,237884,312034,296868,126556,43901,22455,9531,7288,19228,1625,758,418,1050,719,435,312,191,345,349,394,695,101261,11622,166279,35479,26226,19557
280,94,58,314,94,82,117,88,41,51,29,45,20,33,18,25,13,18,24,27,25,21,65,51,34,7,17,31,22,26
281,8482,3037,15468,4060,1416,1135,751,637,32429,5270,3046,4897,686,18970,19782,5121,16645,15612,16818,17927,3408,22310,675,24354,5019,4645,2534,2489,3870
282,88203,20130,15901,15376,42344,79966,37391,2231,69190,46161,49334,29336,34123,46611,199578,10046,1499,565,361,333,191,10413,10232,11957,3007,78386,5533,32992,24135
283,91,90,92,168,720,1881,1733,1582,3329,511,695,191,431,204,638,2559,5635,4210,3589,11798,5862,34070,16832,29328,976,1149,4015,1109,3137
284,387236,93086,56758,20545,34872,37411,37904,29418,35052,8654,5897,7834,6987,3589,7270,3906,7532,4896,18689,8298,6006,19928,8447,35379,3427,3259,5400,4814,9683
285,50,17,25,5,12,40,125,22,39,18,22,19,14,14,75,13,15,17,9,11,11,17,6,15,5,8,7,3,3
286,1491,401,789,188381,376034,151015,107124,63039,110888,141286,88653,53668,127713,42134,54274,21855,27736,42138,43906,59900,60689,88920,27017,51000,12923,63180,88404,38578,62334
287,NA,635,813,136,132,70,151,82,1571,438,250,344,408,134,150,52,72,59,40,74,50,1737,139,237,56,462,11814,6210,5749
