"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
NA,NA,NA,NA,8.13551183968576,3.56114086030985,5.56467281890402,2.30991941639966,3.7279392303892,3.06844873351489,5.67829237685406,4.95245890346808,7.43447281374033,3.95315711868962,2.10062528605847,1.11247830550774,3.14493928518863,1.64029575791946,2.06739346791411,4.03128236539851,3.03403105316772,3.51942947518216,5.30437421249041,2.6193436108572,4.03246434778961,1.0763881364081,5.31056280283009,3.64209912769878,3.63801260139206,5.94113339522511,4.10937737375266,2.47350504432578,2.4812085139948,3.57074710335339,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3.04,0.6138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
4.94,5.93738623085002,2.62529862053068,6.47929557457305,3.74625021357117,5.99161447774881,3.03111154706304,4.91900538010518,2.92900052352354,5.1323901702756,3.90663265390349,3.94649996143465,2.24536894025924,3.68445673317547,2.53125626570846,3.07449134400835,2.9753594143667,4.91842214452556,4.79866003916362,1.49961801959758,1.13282254260241,1.64360462973776,1.70522131820103,5.96326969933743,5.52051367201268,8.2855007618418,4.45804481680562,3.8111704369481,1.82450825380593,1.10756006311521,0,0.886793957632733,5.31169794257108,10.4004677243782,NA
0,0,0,1.1464236630347,1.83344149132543,1.11237147502377,1.10102074568679,0,0,0,0,0,0,0,0,0,0,0.996203302818259,0.97647650474265,1.57710559351843,1.56101267929886,0.348703506810959,0.563247927580438,0.536796103365632,0.870521004572657,2.39068524217371,3.25074323296026,7.27537945655755,7.34871684001318,4.92664106510712,5.37950549690592,3.00123037494918,2.61181902980296,3.84677839065835,3.19261467499072
5.13,6.138,6.03558892548526,2.30927980480286,2.25982632271552,1.72502242830309,1.79915506281974,3.73206295894303,3.11709324250586,4.43593800761952,2.65987986198607,4.02406395885842,3.8109270459543,2.70480248206212,2.63245475248578,4.23856885795392,3.11655245854885,1.50276655831766,1.69156275255671,2.47225410066999,3.83994336086221,2.30690944164223,2.99801016361185,1.63492142932364,0.501702811618595,0.810215013177828,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.181232017111029,0.29261419429385,0.179344183599456,0.29261419429385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,2.03380750463457,3.38458942081872,2.7044261754935,6.48103505142409,5.88634435123153,3.67668595010879,4.59898126772942,1.66986506579644,2.53184963893388,2.96878279190014,3.23435833386542,2.09139230635308,1.64732860383154,4.03230794655574,4.0634933004624,2.99484103759612,3.40168528209166,7.45453787657505,4.53596307983568,6.09529396164322,5.40688625948357,2.08102989971375,3.12490527681262,2.06775251403911,6.96528855277116,4.44062466428417,0,4.73942869396052,4.0520576657862,1.57966257874476,1.43824473579364
1.86,1.61227034971864,4.02385102996312,3.35572531322425,5.86772477540313,3.84777602445448,6.91828252220925,4.00727421156656,5.41052774817149,6.6572578921701,4.53800888492958,7.00981425544962,5.11752463249131,3.99810609549434,2.37091989224273,5.13951218547178,4.92168067502497,3.88072857872306,4.16184972627369,4.60831808800434,4.20968879124847,2.0036457390705,4.19104172836623,3.5881172984057,4.49340214531977,5.77989975508845,3.47523146228341,4.28633178034531,2.3741919525151,3.48883060954122,0,2.09904135955165,1.56092922594568,5.80062830900681,NA
1.86,1.1286,1.8228,1.1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.96,3.0096,4.8608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.182287128769856,1.41665397995545,2.08031055823056,1.87260969664634,1.66392122338287,1.60588344617608,0.945749999471911,1.34080006223139,5.10457294412921,3.44515283392596,6.75323772201364,2.78344080666579,2.7034854268278,1.26629518952,0.573454545496467,0.926089053871041,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23033561932638,0,2.8563313589556,2.4770737356769,4.29245956365785,1.89294628340983
NA,NA,NA,NA,6.18824783928648,3.86112943446776,6.32458540801298,2.9314750134523,2.54194324793258,2.30991652333259,4.06875782567349,2.63366888993454,4.29734101354617,1.52351691199262,0.951411434597053,0.646736482190825,0.297728380006978,0,0.652392523235754,3.98262666967988,0,0,3.94095792136733,0.679306505624434,0,0,0,0,0,0,0,0,0,0,0
