"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","d_round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","d_round_34","round_35","round_36","round_37","d_round_37","round_38"
59,"H","A","H","A","H","A","A","H","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","H","A","","H","A","H","","A"
60,"H","A","H","A","H","A","A","H","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","H","A","","H","A","H","","A"
61,"H","A","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","A","H","H","A","","H","A","H","","A"
62,"H","A","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","A","H","H","A","","H","A","H","","A"
63,"H","A","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","A","H","H","A","","H","A","H","","A"
64,"A","A","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","H","A","","H","A","A","H","H","A","H","A","A","H","","H","A","H","","A","H","A","H","H"
65,"A","A","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","H","A","","H","A","A","H","H","A","H","A","A","H","","H","A","H","","A","H","A","H","H"
66,"A","A","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","H","A","","H","A","A","H","H","A","H","A","A","H","","H","A","H","","A","H","A","H","H"
67,"A","A","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","H","A","","H","A","A","H","H","A","H","A","A","H","","H","A","H","","A","H","A","H","H"
68,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
69,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
70,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
71,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
72,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
73,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
74,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
75,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
76,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
77,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
78,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
79,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
80,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
81,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
82,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
83,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
84,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
85,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
