FirstName;Surname;PositionsList;Team;Cost;PointsLastRound;TotalPoints;AveragePoints;AveragePointsPerDollar;TotalPointsPerDollar;GameweekWeighting;TransfersOut;YellowCards;GoalsConceded;GoalsConcededPoints;Saves;SavesPoints;GoalsScored;GoalsScoredPoints;ValueSeason;TransfersOutRound;PriceRise;PriceFallRound;LastSeasonPoints;PriceFall;ValueForm;PenaltiesMissed;Form;Bonus;FanRating;CleanSheets;CleanSheetPoints;Assists;SelectedByPercent;TransfersIn;OwnGoals;EAIndex;PenaltiesSaved;DreamteamCount;MinutesPlayed;TransfersInRound;PriceRiseRound;RedCards;BPS;NextFixture1;NextFixture2;NextFixture3;NextFixture4;NextFixture5;GW6Forecast;GW7Forecast;GW8Forecast;GW9Forecast;GW10Forecast;GW11Forecast;GW12Forecast;GW13Forecast;GW14Forecast;GW15Forecast;GW16Forecast;GW17Forecast;GW18Forecast;GW19Forecast;GW20Forecast;GW21Forecast;GW22Forecast;GW23Forecast;GW24Forecast;GW25Forecast;GW26Forecast;GW27Forecast;GW28Forecast;GW29Forecast;GW30Forecast;GW31Forecast;GW32Forecast;GW33Forecast;GW34Forecast;GW35Forecast;GW36Forecast;GW37Forecast;GW38Forecast
Darren;Randolph;GLK;WHU;4400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bournemouth;Man City;Watford;West Brom;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angel;Rangel;DEF;SWA;4400000;1;1;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;3;;;;;Hull;Leicester;Chelsea;Southampton;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tokelo;Rantie;FWD;BOU;4500000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Ham;Crystal Palace;West Brom;Man City;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcus;Rashford;FWD;MUN;6800000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Southampton;Hull;Man City;Watford;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adam;Reach;MID;MID;4400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sunderland;West Brom;Crystal Palace;Everton;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nathan;Redmond;MID;SOU;6000000;7;7;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;90;;;;;Man Utd;Sunderland;Arsenal;Swansea;West Ham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harrison;Reed;MID;SOU;4400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man Utd;Sunderland;Arsenal;Swansea;West Ham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Winston;Reid;DEF;WHU;5000000;1;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Bournemouth;Man City;Watford;West Brom;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Loic;Remy;FWD;CRY;6400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tottenham;Bournemouth;Middlesbrough;Stoke;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jordan;Rhodes;FWD;MID;5500000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sunderland;West Brom;Crystal Palace;Everton;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrew;Robertson;DEF;HUL;4500000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Swansea;Man Utd;Burnley;Arsenal;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paul;Robinson;GLK;BUR;4000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Liverpool;Chelsea;Hull;Leicester;Watford;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joel;Robles;GLK;EVE;4800000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Brom;Stoke;Sunderland;Middlesbrough;Bournemoth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hal;Robson-Kanu;FWD;WBA;5000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Everton;Middlesbrough;Bournemouth;West Ham;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jay;Rodriguez;MID;SOU;6400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man Utd;Sunderland;Arsenal;Swansea;West Ham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jack;Rodwell;MID;SUN;4500000;5;5;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;90;;;;;Middlesbrough;Southampton;Everton;Tottenham;Crystal Palace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcos;Rojo;DEF;MUN;5200000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Southampton;Hull;Man City;Watford;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergio;Romero;GLK;MUN;4900000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Southampton;Hull;Man City;Watford;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salomon;Rondon;FWD;WBA;6600000;6;6;;;;;;;0;;;;1;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Everton;Middlesbrough;Bournemouth;West Ham;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wayne;Rooney;FWD;MUN;8900000;0;0;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;89;;;;;Southampton;Hull;Man City;Watford;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Danny;Rose;DEF;TOT;5900000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Crystal Palace;Liverpool;Stoke;Sunderland;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jack;Rose;GLK;WBA;4000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Everton;Middlesbrough;Bournemouth;West Ham;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wayne;Routledge;MID;SWA;4800000;3;3;;;;;;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;87;;;;;Hull;Leicester;Chelsea;Southampton;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacary;Sagna;DEF;MCI;5400000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Stoke;West Ham;Man Utd;Bournemouth;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diafra;Sakho;FWD;WHU;5900000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bournemouth;Man City;Watford;West Brom;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mamadou;Sakho;DEF;LIV;4800000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Burnley;Tottenham;Leicester;Chelsea;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bakary;Sako;MID;CRY;5400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tottenham;Bournemouth;Middlesbrough;Stoke;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexis;Sanchez;MID;ARS;11000000;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Leicester;Watford;Southampton;Hull;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leroy;Sane;MID;MCI;7800000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stoke;West Ham;Man Utd;Bournemouth;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yaya;Sanogo;FWD;ARS;4800000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Leicester;Watford;Southampton;Hull;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jeffrey;Schlupp;DEF;LEI;4900000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arsenal;Swansea;Liverpool;Burnley;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kasper;Schmeichel;GLK;LEI;5000000;1;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Arsenal;Swansea;Liverpool;Burnley;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Morgan;Schneiderlin;MID;MUN;4700000;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;Southampton;Hull;Man City;Watford;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bastian;Schweinsteiger;MID;MUN;5200000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Southampton;Hull;Man City;Watford;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xherdan;Shaqiri;MID;STK;6300000;7;7;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;90;;;;;Man City;Everton;Tottenham;Crystal Palace;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luke;Shaw;DEF;MUN;5600000;0;0;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Southampton;Hull;Man City;Watford;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ryan;Shawcross;DEF;STK;4900000;1;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Man City;Everton;Tottenham;Crystal Palace;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sheyi Ojo;MID;LIV;4800000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Burnley;Tottenham;Leicester;Chelsea;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gylfi;Sigurdsson;MID;SWA;7200000;1;1;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;30;;;;;Hull;Leicester;Chelsea;Southampton;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
David;Silva;MID;MCI;8700000;2;2;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;64;;;;;Stoke;West Ham;Man Utd;Bournemouth;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Danny;Simpson;DEF;LEI;5000000;0;0;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;83;;;;;Arsenal;Swansea;Liverpool;Burnley;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jerome;Sinclair;FWD;WAT;4800000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelsea;Arsenal;West Ham;Man Utd;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moussa;Sissoko;MID;TOT;7000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Crystal Palace;Liverpool;Stoke;Sunderland;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Islam;Slimani;FWD;LEI;8500000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arsenal;Swansea;Liverpool;Burnley;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chris;Smalling;DEF;MUN;5900000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Southampton;Hull;Man City;Watford;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
