FirstName;Surname;PositionsList;Team;Cost;PointsLastRound;TotalPoints;AveragePoints;AveragePointsPerDollar;TotalPointsPerDollar;GameweekWeighting;TransfersOut;YellowCards;GoalsConceded;GoalsConcededPoints;Saves;SavesPoints;GoalsScored;GoalsScoredPoints;ValueSeason;TransfersOutRound;PriceRise;PriceFallRound;LastSeasonPoints;PriceFall;ValueForm;PenaltiesMissed;Form;Bonus;FanRating;CleanSheets;CleanSheetPoints;Assists;SelectedByPercent;TransfersIn;OwnGoals;EAIndex;PenaltiesSaved;DreamteamCount;MinutesPlayed;TransfersInRound;PriceRiseRound;RedCards;BPS;NextFixture1;NextFixture2;NextFixture3;NextFixture4;NextFixture5;GW6Forecast;GW7Forecast;GW8Forecast;GW9Forecast;GW10Forecast;GW11Forecast;GW12Forecast;GW13Forecast;GW14Forecast;GW15Forecast;GW16Forecast;GW17Forecast;GW18Forecast;GW19Forecast;GW20Forecast;GW21Forecast;GW22Forecast;GW23Forecast;GW24Forecast;GW25Forecast;GW26Forecast;GW27Forecast;GW28Forecast;GW29Forecast;GW30Forecast;GW31Forecast;GW32Forecast;GW33Forecast;GW34Forecast;GW35Forecast;GW36Forecast;GW37Forecast;GW38Forecast
Marc;Albrighton;MID;LEI;5300000;2;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;65;;;;;Burnley;Man Utd;Southampton;Chelsea;Crystal Palace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Toby;Alderweireld;DEF;TOT;6500000;6;;;;;;;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Sunderland;Middlesbrough;Man City;West Brom;Bournemouth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trent;Alexander-Arnold;MID;LIV;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelsea;Hull;Swansea;Man Utd;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joe;Allen;MID;STK;4800000;2;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Crystal Palace;West Brom;Man Utd;Sunderland;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bamidele;Alli;MID;TOT;8300000;11;;;;;;;;0;;;;1;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Sunderland;Middlesbrough;Man City;West Brom;Bournemouth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcos;Alonso;DEF;CHE;5900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Liverpool;Arsenal;Hull;Leicester;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel;Amartey;MID;LEI;4500000;1;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Burnley;Man Utd;Southampton;Chelsea;Crystal Palace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jordi;Amat;DEF;SWA;4100000;0;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Southampton;Man City;Liverpool;Arsenal;Watford;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordin;Amrabat;MID;WAT;5000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man Utd;Burnley;Bournemouth;Middlesbrough;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keshi;Anderson;FWD;CRY;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stoke;Sunderland;Everton;West Ham;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Angelino;DEF;MCI;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bournemouth;Swansea;Tottenham;Everton;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Victor;Anichebe;FWD;SUN;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tottenham;Crystal Palace;West Brom;Stoke;West Ham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michail;Antonio;MID;WHU;7300000;12;;;;;;;;4;;;;2;;;;;;;;;;;;;;;;;;;;;;90;;;;;West Brom;Southampton;Middlesbrough;Crystal Palace;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ikechi;Anya;MID;WAT;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man Utd;Burnley;Bournemouth;Middlesbrough;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alvaro;Arbeloa;DEF;WHU;4900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Brom;Southampton;Middlesbrough;Crystal Palace;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scott;Arfield;MID;BUR;5300000;0;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;Leicester;Watford;Arsenal;Southampton;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marko;Arnautovic;MID;STK;7300000;1;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Crystal Palace;West Brom;Man Utd;Sunderland;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harry;Arter;MID;BOU;5000000;3;;;;;;;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Man City;Everton;Watford;Hull;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Takuma;Asano;FWD;ARS;4900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hull;Chelsea;Burnley;Swansea;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joel;Asoro;MID;SUN;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tottenham;Crystal Palace;West Brom;Stoke;West Ham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charlie;Austin;FWD;SOU;6200000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Swansea;West Ham;Leicester;Burnley;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel;Ayala;DEF;MID;5000000;7;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;90;;;;;Everton;Tottenham;West Ham;Watford;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andre;Ayew;MID;WHU;7200000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Brom;Southampton;Middlesbrough;Crystal Palace;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cesar;Azpilicueta;DEF;CHE;6000000;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Liverpool;Arsenal;Hull;Leicester;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Baba Rahman;DEF;CHE;5500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Liverpool;Arsenal;Hull;Leicester;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eric;Bailly;DEF;MUN;5500000;0;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Watford;Leicester;Stoke;Liverpool;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leighton;Baines;DEF;EVE;5600000;6;;;;;;;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Middlesbrough;Bournemoth;Crystal Palace;Man City;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mario;Balotelli;FWD;LIV;6300000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelsea;Hull;Swansea;Man Utd;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrick;Bamford;FWD;BUR;5000000;1;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;Leicester;Watford;Arsenal;Southampton;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alex;Baptiste;DEF;MID;4000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Everton;Tottenham;West Ham;Watford;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phil;Bardsley;DEF;STK;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Crystal Palace;West Brom;Man Utd;Sunderland;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ross;Barkley;MID;EVE;7500000;1;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;45;;;;;Middlesbrough;Bournemoth;Crystal Palace;Man City;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ashley;Barnes;FWD;BUR;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Leicester;Watford;Arsenal;Southampton;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antonio;Barragan;DEF;MID;4500000;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Everton;Tottenham;West Ham;Watford;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modou;Barrow;FWD;SWA;5000000;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;;Southampton;Man City;Liverpool;Arsenal;Watford;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gareth;Barry;MID;EVE;4600000;3;;;;;;;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Middlesbrough;Bournemoth;Crystal Palace;Man City;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borja;Baston;FWD;SWA;6900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Southampton;Man City;Liverpool;Arsenal;Watford;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michy;Batshuayi;FWD;CHE;8800000;1;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;Liverpool;Arsenal;Hull;Leicester;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asmir;Begovic;GLK;CHE;4900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Liverpool;Arsenal;Hull;Leicester;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valon;Behrami;MID;WAT;4500000;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Man Utd;Burnley;Bournemouth;Middlesbrough;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hector;Bellerin;DEF;ARS;6500000;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Hull;Chelsea;Burnley;Swansea;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yohan;Benalouane;DEF;LEI;4000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Burnley;Man Utd;Southampton;Chelsea;Crystal Palace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nabil;Bentaleb;MID;TOT;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sunderland;Middlesbrough;Man City;West Brom;Bournemouth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saido;Berahino;FWD;WBA;6200000;2;;;;;;;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;63;;;;;West Ham;Stoke;Sunderland;Tottenham;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steven;Berghuis;MID;WAT;5000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man Utd;Burnley;Bournemouth;Middlesbrough;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bernardo;DEF;MID;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Everton;Tottenham;West Ham;Watford;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ryan;Bertrand;DEF;SOU;5400000;0;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Swansea;West Ham;Leicester;Burnley;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Muhamed;Besic;MID;EVE;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Middlesbrough;Bournemoth;Crystal Palace;Man City;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daley;Blind;DEF;MUN;5500000;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Watford;Leicester;Stoke;Liverpool;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hiram;Boateng;MID;CRY;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stoke;Sunderland;Everton;West Ham;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bojan;MID;STK;5900000;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;Crystal Palace;West Brom;Man Utd;Sunderland;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yannick;Bolasie;MID;EVE;6100000;6;;;;;;;;0;;;;;;;;;;;;;;;;;1;;1;;;;;;;76;;;;;Middlesbrough;Bournemoth;Crystal Palace;Man City;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wilfried;Bony;FWD;STK;7300000;2;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Crystal Palace;West Brom;Man Utd;Sunderland;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabio;Borini;FWD;SUN;5300000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tottenham;Crystal Palace;West Brom;Stoke;West Ham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cameron;Borthwick-Jackson;DEF;MUN;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Watford;Leicester;Stoke;Liverpool;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Artur;Boruc;GLK;BOU;4500000;6;;;;;;;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Man City;Everton;Watford;Hull;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sofiane;Boufal;MID;SOU;6900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Swansea;West Ham;Leicester;Burnley;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jarrod;Bowen;FWD;HUL;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arsenal;Liverpool;Chelsea;Bournemouth;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
George;Boyd;MID;BUR;5400000;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Leicester;Watford;Arsenal;Southampton;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cameron;Brannagan;MID;LIV;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelsea;Hull;Swansea;Man Utd;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claudio;Bravo;GLK;MCI;5500000;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Bournemouth;Swansea;Tottenham;Everton;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Miguel;Britos;DEF;WAT;4400000;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Man Utd;Burnley;Bournemouth;Middlesbrough;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leon;Britton;MID;SWA;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Southampton;Man City;Liverpool;Arsenal;Watford;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tyias;Browning;DEF;EVE;3900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Middlesbrough;Bournemoth;Crystal Palace;Man City;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alex;Bruce;DEF;HUL;4000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arsenal;Liverpool;Chelsea;Bournemouth;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chris;Brunt;DEF;WBA;4900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Ham;Stoke;Sunderland;Tottenham;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reece;Burke;DEF;WHU;4000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Brom;Southampton;Middlesbrough;Crystal Palace;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jack;Butland;GLK;STK;4800000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Crystal Palace;West Brom;Man Utd;Sunderland;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sam;Byram;DEF;WHU;4500000;-1;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;West Brom;Southampton;Middlesbrough;Crystal Palace;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Willy;Caballero;GLK;MCI;5000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bournemouth;Swansea;Tottenham;Everton;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yohan;Cabaye;MID;CRY;5700000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stoke;Sunderland;Everton;West Ham;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gary;Cahill;DEF;CHE;6000000;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Liverpool;Arsenal;Hull;Leicester;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jonathan;Calleri;FWD;WHU;6900000;1;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;West Brom;Southampton;Middlesbrough;Crystal Palace;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Callum Wilson;FWD;BOU;6400000;6;;;;;;;;0;;;;1;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Man City;Everton;Watford;Hull;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geoff;Cameron;DEF;STK;4400000;0;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Crystal Palace;West Brom;Man Utd;Sunderland;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joel;Campbell;MID;ARS;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hull;Chelsea;Burnley;Swansea;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fraizer;Campbell;FWD;CRY;5900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stoke;Sunderland;Everton;West Ham;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emre;Can;MID;LIV;4800000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelsea;Hull;Swansea;Man Utd;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etienne;Capoue;MID;WAT;5100000;10;;;;;;;;2;;;;1;;;;;;;;;;;;;;;1;;;;;;;90;;;;;Man Utd;Burnley;Bournemouth;Middlesbrough;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael;Carrick;MID;MUN;4300000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Watford;Leicester;Stoke;Liverpool;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom;Carroll;MID;TOT;6300000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sunderland;Middlesbrough;Man City;West Brom;Bournemouth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andy;Carroll;FWD;WHU;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Brom;Southampton;Middlesbrough;Crystal Palace;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cameron;Carter-Vickers;DEF;TOT;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sunderland;Middlesbrough;Man City;West Brom;Bournemouth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Craig;Cathcart;DEF;WAT;4500000;0;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Man Utd;Burnley;Bournemouth;Middlesbrough;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lee;Cattermole;MID;SUN;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tottenham;Crystal Palace;West Brom;Stoke;West Ham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santiago;Cazorla;MID;ARS;7700000;6;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;90;;;;;Hull;Chelsea;Burnley;Swansea;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Petr;Cech;GLK;ARS;5500000;0;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;90;;;;;Hull;Chelsea;Burnley;Swansea;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cedric;DEF;SOU;5000000;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Swansea;West Ham;Leicester;Burnley;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nacer;Chadli;MID;WBA;6400000;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;West Ham;Stoke;Sunderland;Tottenham;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nathaniel;Chalobah;MID;CHE;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Liverpool;Arsenal;Hull;Leicester;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Chamberlain;MID;ARS;6000000;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;62;;;;;Hull;Chelsea;Burnley;Swansea;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calum;Chambers;DEF;MID;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Everton;Tottenham;West Ham;Watford;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
James;Chester;DEF;WBA;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Ham;Stoke;Sunderland;Tottenham;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benjamin;Chilwell;DEF;LEI;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Burnley;Man Utd;Southampton;Chelsea;Crystal Palace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
