"index","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
167,7,5,9,2,2,1,1,7,7,1,9,9,2,8,-2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,6,1,-1,0,1,5,2,2,2,1,11,6,2,6,2,1,0,1,6,2,6,0,15,0,0,0,0,2,0,7,1,0,2,0
171,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,11,7,13
172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,0,2,0,2,0,6,0,1,6,0,0,6,2,8,1,3,-1,0,7,0,1,0,6,0,2,1,0,0,6,6,0,14,4,6
175,1,2,1,2,2,7,2,0,0,1,0,0,0,1,2,1,0,1,6,3,8,0,6,0,2,1,1,2,0,0,0,0,1,0
176,8,1,6,2,6,3,2,0,1,7,1,11,6,1,0,6,11,6,6,8,1,6,1,0,1,0,2,0,6,5,1,1,1,0
177,1,2,5,7,-1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,6,8,0,0,0,2,8,4,6,6,12,6,0,6,7
178,0,10,4,6,0,8,0,1,0,0,0,2,0,7,6,0,0,2,8,1,6,0,0,0,0,0,1,1,0,14,2,0,1,0
179,0,0,0,0,0,7,2,5,2,2,6,1,8,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6,7,12,1,1,7,0
180,0,0,0,0,0,0,2,2,2,2,8,2,6,2,0,6,2,4,1,0,0,0,2,0,1,0,0,0,0,0,0,1,6,6
181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,0,0,0,0,0,6,2,3,2,1,7,1,6,2,1,7,2,0,8,1,0,0,8,0,1,5,2,7,5,0,0,0,0,0
183,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,10,0,0,1,0,0,0
184,1,8,2,6,0,0,0,0,0,0,0,0,1,0,2,1,0,2,1,10,6,0,0,0,2,0,0,0,0,0,0,1,7,0
185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,7,6
186,2,2,1,7,0,0,0,2,1,2,5,0,6,2,2,5,5,2,6,11,5,0,6,0,8,8,0,0,6,6,2,0,0,0
187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,1,1,2,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,1,2,2,6,2,6
195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,7,11,6,0,0,1,0,6,6,1,0,6,8,0,0,0,2,7,6,1,14,0,1,0,4,6,0,6,1,6,7,6,2,2
199,9,8,1,0,0,0,0,5,8,1,0,0,2,0,0,1,2,12,1,1,7,0,0,0,1,6,4,5,0,3,6,6,5,2
200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,NA,NA,NA,5,2,1,0,0,1,1,3,1,0,0,2,2,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,6,0,1,0,1,8,5,9,1,0,8,8,8,1
204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
205,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,1,1,6,1,1,6,0,1,0,1,7,11,9,1,0,6,7,9,2
206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,0,3,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,2,1,2,1,6,1,0,12
208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,2,2,0,0,0,0,1,8,7,1,6,0,0,0,6,2,2,0,0,1,0,6,0,0,1,0,1,2,1,6,1,0,0
210,0,2,2,8,6,2,2,2,9,6,1,6,1,0,6,6,2,2,2,1,9,0,12,0,0,1,1,1,2,0,7,1,0,6
211,0,0,0,1,0,0,0,0,6,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,1,0,1
212,0,2,2,8,6,1,2,2,6,6,1,6,0,3,0,7,2,4,4,2,8,0,14,0,0,1,2,1,2,1,0,1,0,6
213,0,1,2,6,11,2,2,2,0,0,0,6,1,0,0,15,2,2,0,2,6,0,11,0,1,0,2,1,2,1,6,-1,0,6
214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,8,0
219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,1,10,1,1,1,1,6,1,1,2,6,1,9,6,1
221,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,1
222,0,0,0,0,7,-1,1,0,0,0,6,1,1,0,1,11,0,1,8,1,15,1,1,8,-1,5,1,2,2,6,2,7,6,2
223,1,1,1,1,9,1,0,1,-1,0,0,0,0,0,1,2,-2,1,2,1,6,0,1,0,0,7,6,2,2,5,2,6,15,2
224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,14,0,7,0,0,6,1,2,2,0,1,7,6,2
225,1,1,1,1,0,0,1,0,0,0,6,1,1,0,0,7,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,0,0,1,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
229,6,2,6,1,0,0,0,0,0,0,2,6,0,0,2,6,6,1,6,9,0,1,1,0,2,7,2,6,6,6,6,2,4,8
230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,6,1,6,5,0,2,6,2,6,6,9,6,2,11,8
233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,0,0,10,0,5,1,2,0,0,6,1,9,11,4,6,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,6,1,11,0,1,9,0,2,8
237,7,2,6,1,5,2,2,1,1,6,2,6,2,1,0,7,6,0,0,0,0,6,1,0,2,7,2,6,7,7,8,2,4,2
238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,1,1,0,6,6,8,-2,1,-1,0,1,1,2,1,0,1,5,6,2,0,1,2,4,0,2,15,3,0,0,1,1,0,0,0
240,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,2,1,1,1,0,0,2,11,7,0,0,0,0,0,0,0
241,1,0,6,15,6,6,-2,0,0,1,7,1,2,1,-1,1,6,0,0,4,1,1,0,0,0,7,6,0,8,1,0,0,0,0
242,4,0,0,0,0,1,5,2,2,0,1,1,1,1,0,0,0,1,2,1,1,0,0,0,6,1,1,0,6,1,2,1,7,0
243,0,0,0,1,0,1,0,0,2,8,1,0,2,0,1,0,6,7,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0
244,0,0,1,6,6,6,-1,2,1,0,0,0,1,2,6,1,6,0,9,2,1,2,0,0,2,1,0,0,0,0,0,0,0,0
245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,2,1,2,0
247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,2,1,0,6,6,9,0,5,2,1,7,0,1,5,-1,1,6,1,1,1,1,0,-1,0,1,0,1,0,6,0,1,1,-1,0
250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,0,1,3,2,1,-1,2,6,2,2,1,0,0,2,1,2,0,6,1,8,1,7,1,0,17,6,1,2,2,0,2,7,2,1
253,1,2,1,1,0,0,2,6,1,9,2,0,0,2,2,1,0,0,0,0,3,2,1,1,2,9,1,1,1,0,2,1,3,8
254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,0,1,0,1,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,1,13,6,0
257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,1,2,2,2,8,0,2,6,10,1,1,2,1,2,2,8,-3,12,2,7,8,10,1,1,2,8,0,1,2,0,2,0,6,0
260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,0,1,2,2,1,0,2,11,3,2,2,3,1,2,0,8,0,5,2,6,1,1,2,1,2,5,0,2,0,0,1,-1,6,1
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,1,1,0,8,-2,0,0,5,0,2
265,0,0,2,0,0,0,3,0,2,1,0,0,0,0,0,0,6,1,0,1,1,0,0,0,0,1,1,7,9,7,6,6,-1,1
266,0,0,0,6,0,1,2,1,1,0,1,6,7,2,2,1,6,2,0,1,1,2,1,1,1,5,0,0,0,1,1,6,0,2
267,8,6,8,2,2,1,1,8,6,1,5,6,0,0,0,1,0,0,0,2,1,2,1,1,1,0,1,6,1,5,9,7,1,2
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,1,9,1,0,0,0
269,0,1,2,5,8,1,2,1,2,0,1,6,6,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,7,8,14,0,0,5,0,-1,1,7,9,11,2,1,6,2,0,1,0,3,1,1,0,0,0,0,0,6,6,5,0,0
272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
273,0,1,1,0,0,0,2,1,0,0,0,14,1,0,3,0,1,1,0,1,0,0,0,0,0,1,0,0,1,7,0,4,2,0
274,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2,1,0,1,3,2,2,3,0,1,2,5,2,3,1,1,0,1,2,2,3,0,0,0,0,1,0,0,1,3,0,2,2,1
276,4,0,1,0,3,2,0,2,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0
277,11,3,3,2,3,2,2,0,0,1,6,1,2,3,11,2,10,3,9,2,3,0,2,0,1,1,0,0,0,0,0,0,1,1
278,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,1,3,7,0,0,6,2,3,2,2,3,14,3,0,0,0,0,3,1,8,0,4,1,2,4,0
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,2,10,3,10,3,5,5,2,2,11,10,2,2,6,0,0,6,6,2,2,3,0,0,0,0,5,14,2,10,3,2,8,15,5
282,0,0,0,0,0,4,1,1,1,1,0,0,0,0,1,1,3,2,1,0,0,0,0,0,2,0,1,1,5,1,2,9,7,10
283,2,3,1,2,3,2,2,3,0,1,1,3,7,1,3,0,2,2,2,5,1,2,0,4,1,1,2,2,1,0,0,0,0,0
284,6,1,3,-1,0,0,3,0,3,2,2,2,2,3,3,5,3,-1,0,0,0,0,1,0,6,1,3,2,6,2,2,14,5,2
285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,2,8,2,2,3,2,1,2,1,2,1,3,2,2,3,1,2,0,1,6,1,2,1,2,0,-1,8,1,2,7,2,1,3,0
299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,0,0,0,0,1,1,1,0,0,15,2,0,1,0,8,13,4,2,2,5,1,8,2,2,3,3,0,2,0,6,6,1,4,2
301,1,1,1,6,2,1,8,2,1,2,1,1,0,2,1,2,0,0,0,1,0,1,0,1,3,3,0,0,0,1,0,0,1,3
302,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1,3,2,2,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,2,0,0,0,1,0,2,1,0,0,0,1,1,1
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,6,0
306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,0,0,0,0,0,0,0,1,0,0,4,11,1,0,0,0,1,1,0,2,1,2,4,1,3,3,2,2,2,14,3,2,2,2
308,2,11,4,21,0,0,2,6,2,1,0,0,0,1,6,5,7,2,2,0,0,0,0,0,0,0,0,0,2,1,1,9,10,9
309,2,2,2,2,0,2,0,0,0,0,0,0,0,2,3,1,2,5,2,2,2,2,-2,0,3,1,0,0,0,0,0,0,0,2
310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,1,1,1,0,12,3,2,2,1,2,1,2,2,3,5,2,0,0,1,2,1,1,1,2,3,2,0,0,0,0,3,2,2,2
312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,9,7,5,1,1,1,1,3,2,2,0,4,0,2
313,2,2,1,2,0,1,0,2,2,2,0,1,0,2,1,2,0,2,1,1,2,2,1,2,1,3,2,2,0,0,0,1,1,0
314,2,12,3,0,0,0,2,1,2,0,1,0,1,1,3,1,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
315,1,3,2,2,5,3,13,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0
316,2,8,2,2,1,3,2,2,2,1,8,1,2,2,0,1,3,2,3,-2,0,0,2,2,3,2,6,3,2,1,3,2,2,2
317,0,0,0,0,0,1,1,2,2,0,4,2,2,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
318,2,3,2,1,2,2,1,2,5,2,2,2,2,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,NA,NA,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,2,0,4,1,0,1,5,1,3,10,0,3,2,7,0,3,0,0,0,0,0,0,2,0,7,1,0,9,4,0,0,1,0,1
323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,0,0,0,0,1,0,3,2,2,1
324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,2,2,2,0,2,10,2,1,2,0,1,6,1,4,8,3,9,3,2,12,3,3,5,9,3,1,3,5,4,3,2,1,10,2
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,3,2,3,2,2,2,2,1,0,0,0,0,0,0,3,0,2,2,2,1,2,8,1,0,1,3,3,2,1,2,2,3,0,0
329,1,1,0,0,0,0,0,0,0,4,4,11,0,6,9,1,1,4,1,6,0,13,4,0,0,10,2,1,0,4,4,12,9,8
330,2,2,3,8,8,14,19,4,2,9,3,0,3,10,5,2,6,3,5,11,2,5,11,0,0,5,13,10,2,9,5,3,5,9
331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,2,2,3,3,8,3,3,2,2,1,2,3,2,0,2,2,3,2,2,2,3,2,2,0,2,2,1,4,2,1,3,0,2,2
333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
