"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
420,29,28,29,29,29,90,83,90,90,67,0,90,90,90,90,90,90,83,90,90,90,90,90,90,90,0,0,0,0,0,90,90,90,180,90,62,23,23
421,9,9,9,9,9,77,66,0,64,72,10,0,84,0,0,21,76,61,0,57,0,18,0,0,2,0,21,0,79,90,90,63,59,80,90,30,52,53
422,55,54,54,54,54,0,24,0,26,0,0,62,0,82,71,0,0,17,90,0,64,0,0,0,80,0,90,0,11,90,0,13,0,158,90,90,112,112
423,49,50,49,50,50,86,66,0,45,72,80,84,64,0,0,69,0,73,27,45,26,66,29,76,71,0,90,0,68,0,0,0,0,0,0,83,73,73
424,83,83,83,83,83,90,90,90,90,90,90,90,90,0,90,15,90,90,18,90,90,90,90,90,66,15,26,0,81,58,45,90,65,90,90,90,45,45
425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,45,45
426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,72,72,72,72,72,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,0,45,90,90,89,0,0,22,22
428,77,78,78,78,78,78,90,81,90,90,90,90,90,90,77,90,90,90,90,90,78,90,90,90,90,0,45,0,77,90,90,90,89,90,90,180,116,117
429,11,10,11,10,11,4,0,90,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,90,90,64,0,90,91,90,0,0,0
430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37
