"index","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37"
500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,9,9,10,10,11,11,11,12,12,12,16,16,18,19,22,32
501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,1,4,5,7,8,12,13,13,15,16,18,18,18,21,25,27,27,27,27,27,31,33,35,35,35,35,37,40,42,43,44,44,48
504,3,5,7,7,7,7,12,13,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,9,9,9,9
508,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
509,3,4,5,6,8,8,13,13,14,15,18,18,19,19,21,21,21,21,21,23,23,23,25,25,25,25,26,26,26,26,26,27,28
510,0,0,0,1,1,5,6,6,7,8,9,10,12,13,14,15,17,17,18,18,20,21,23,24,25,25,27,27,28,28,29,31,37
511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,3,4,5,5,7,10,10,10,10,10,10,10,12,12,13,14,16,16,17,17,17,18,19,22,23,23,25,26,27,27,28,28,32
513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
517,7,12,14,20,22,23,24,27,28,29,32,35,35,36,38,41,41,41,41,41,43,44,46,49,50,50,52,53,54,54,55,57,62
518,2,3,3,4,6,10,10,10,11,11,11,12,12,13,13,13,15,15,15,15,15,15,16,18,19,19,20,20,20,20,20,22,24
519,0,0,0,0,0,2,3,3,4,5,6,6,6,6,6,7,11,11,12,12,13,14,16,17,17,17,17,18,18,18,19,21,22
520,5,6,7,7,9,9,10,10,11,12,13,14,16,17,18,19,23,23,24,24,25,25,25,25,25,25,26,27,28,28,28,28,28
521,5,6,7,8,10,10,11,11,12,13,14,15,17,18,19,20,24,24,25,25,26,26,26,28,28,28,28,28,29,29,30,30,36
522,12,15,16,16,16,18,19,22,23,23,25,25,25,25,26,28,28,29,33,34,36,37,37,40,43,43,43,43,43,43,43,43,43
523,13,14,15,15,15,16,16,17,17,17,20,20,20,20,20,20,21,21,22,23,23,27,27,27,29,31,32,34,35,37,37,39,43
524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,6,7,10,11,12,13,15,17,17,19,19,19,19,19,19,19,23
526,0,1,1,1,1,2,3,5,5,6,6,6,6,7,7,7,7,7,8,8,9,9,9,9,9,10,11,11,13,13,13,13,18
