"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1.19063741081012,1.1756777831587,2.18829951553384,3.19523236960984,7.84895447328784,3.4415792137928,3.66831229985625,1.25201883828572,1.66504577855048,3.88547836100942,3.39048053689671,5.35013286860414,3.17200272362266,3.4387227089104,6.29354187944362,3.93366847956664,0.94445643636111,0.74734305693358,2.012462923796,2.81559171203025,4.50903654593381,2.50182695748,2.2071684334849,1.68923818418818,2.71799058249495,0.384829690757591,0.786121500098449,3.27865564930497,2.47594281407798,6.05610445912141,2.47481491862803,3.66644006772179,2.09755093115202,10.71850141668,13.5116128079166
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791911912226682,2.28128568588054,4.05437074594338,1.98417847774068
NA,NA,NA,NA,NA,NA,NA,3.11381093270361,3.45418381492889,7.48121691372162,3.82700926462306,4.62251074236135,1.74967511469131,4.54507165201979,4.31901865896922,7.03762886456737,8.51449417628676,3.97951525217302,3.37605721892895,1.72138018660289,1.78299918034345,3.6747533545704,4.54847528337921,2.35723005911319,4.28934153168868,3.52273578835957,4.38003578562473,5.13329205217738,5.49732027970129,3.69723619275528,1.34589656456824,3.0003410481555,2.50031735788022,1.29007338512601,1.28744750738483,0.50985313220509,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,3.20003391602865,0.777054082738513,2.18675018518126,2.1885217449678,1.63518604612059,2.3011811388083,2.65866045776887,3.76806222831385,1.99345554414419,2.58542086041474,1.31675433147202,2.63331870171597,2.08395298737103,2.29684483885423,3.21769038364817,1.20872788942383,1.01778294020858,2.095489780808,1.3069473697901,2.2736264581063,1.41512371304731,2.76694785450856,2.72167236029805,3.95945115857279,2.08895731322151,1.07716928271711,2.09933578254506,4.14095284538119,2.56142925838074,2.83933312848238,3.8932250294145,4.23100838331026,6.99699721277388,4.96122463680209,7.47249281947803
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
