"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
198,"WAT","MUN","Sunderland","ARS","SWA","WHU","LEI","BUR","MCI","CHE","Hull City","LIV","EVE","CRY","Middlesbrough","STK","BOU","TOT","WBA","EVE","BUR","LEI","SWA","WHU","Sunderland","WAT","WAT","TOT","TOT","BOU","CRY","WBA","MCI","CHE","Hull City","LIV","Middlesbrough","STK"
199,"WAT","MUN","Sunderland","ARS","SWA","WHU","LEI","BUR","MCI","CHE","Hull City","LIV","EVE","CRY","Middlesbrough","STK","BOU","TOT","WBA","EVE","BUR","LEI","SWA","WHU","Sunderland","WAT","WAT","TOT","TOT","BOU","CRY","WBA","MCI","CHE","Hull City","LIV","Middlesbrough","STK"
200,"WAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,"WAT",NA,NA,NA,NA,NA,NA,NA,"MCI","CHE","Hull City","LIV","EVE","CRY","Middlesbrough","STK","BOU","TOT","WBA","EVE","BUR","LEI","SWA","WHU","Sunderland","WAT","WAT","TOT","TOT","BOU","CRY","WBA","MCI","CHE","Hull City","LIV","Middlesbrough","STK"
202,"WAT","MUN","Sunderland","ARS","SWA","WHU","LEI","BUR","MCI","CHE","Hull City","LIV","EVE","CRY","Middlesbrough","STK","BOU","TOT","WBA","EVE","BUR","LEI","SWA","WHU","Sunderland","WAT","WAT","TOT","TOT","BOU","CRY","WBA","MCI","CHE","Hull City","LIV","Middlesbrough","STK"
203,"WAT","MUN","Sunderland","ARS","SWA","WHU","LEI","BUR","MCI","CHE","Hull City","LIV","EVE","CRY","Middlesbrough","STK","BOU","TOT","WBA","EVE","BUR","LEI","SWA","WHU","Sunderland","WAT","WAT","TOT","TOT","BOU","CRY","WBA","MCI","CHE","Hull City","LIV","Middlesbrough","STK"
204,"WAT","MUN","Sunderland","ARS","SWA","WHU","LEI","BUR","MCI","CHE","Hull City","LIV","EVE","CRY","Middlesbrough","STK","BOU","TOT","WBA","EVE","BUR","LEI","SWA","WHU","Sunderland","WAT","WAT","TOT","TOT","BOU","CRY","WBA","MCI","CHE","Hull City","LIV","Middlesbrough","STK"
205,"WAT","MUN","Sunderland","ARS","SWA","WHU","LEI","BUR","MCI","CHE","Hull City","LIV","EVE","CRY","Middlesbrough","STK","BOU","TOT","WBA","EVE","BUR","LEI","SWA","WHU","Sunderland","WAT","WAT","TOT","TOT","BOU","CRY","WBA","MCI","CHE","Hull City","LIV","Middlesbrough","STK"
206,"MID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,"MID","MCI","EVE","TOT","CRY","WBA","MUN","Sunderland","Hull City","SWA","WHU","BOU","WAT","BUR","ARS","SOU","LEI","LIV","CHE","WAT","Sunderland","MUN","EVE","WBA","CRY","TOT","Middlesbrough","CHE","CHE","LEI","BUR","LIV","Hull City","SWA","WHU","BOU","ARS","SOU"
208,"MID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WBA","CRY","TOT","Middlesbrough","CHE","CHE","LEI","BUR","LIV","Hull City","SWA","WHU","BOU","ARS","SOU"
209,"MID","MCI","EVE","TOT","CRY","WBA","MUN","Sunderland","Hull City","SWA","WHU","BOU","WAT","BUR","ARS","SOU","LEI","LIV","CHE","WAT","Sunderland","MUN","EVE","WBA","CRY","TOT","Middlesbrough","CHE","CHE","LEI","BUR","LIV","Hull City","SWA","WHU","BOU","ARS","SOU"
210,"MID","MCI","EVE","TOT","CRY","WBA","MUN","Sunderland","Hull City","SWA","WHU","BOU","WAT","BUR","ARS","SOU","LEI","LIV","CHE","WAT","Sunderland","MUN","EVE","WBA","CRY","TOT","Middlesbrough","CHE","CHE","LEI","BUR","LIV","Hull City","SWA","WHU","BOU","ARS","SOU"
211,"MID","MCI","EVE","TOT","CRY","WBA","MUN","Sunderland","Hull City","SWA","WHU","BOU","WAT","BUR","ARS","SOU","LEI","LIV","CHE","WAT","Sunderland","MUN","EVE","WBA","CRY","TOT","Middlesbrough","CHE","CHE","LEI","BUR","LIV","Hull City","SWA","WHU","BOU","ARS","SOU"
