"index","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37"
220,8,8,8,9,9,9,9,11,11,11,11,11,11,11,11,13,13,14,15,16,26,27,28,29,30,36,37,38,40,46,47,56,63
221,12,12,12,12,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,26,28,28,29
222,0,0,0,0,7,6,7,7,7,7,13,14,15,15,16,27,27,28,36,37,52,53,54,62,61,66,67,69,71,77,79,86,94
223,10,11,12,13,22,23,23,24,23,23,23,23,23,23,24,26,24,25,27,28,34,34,35,35,35,42,48,50,52,57,59,65,82
224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,4,18,18,25,25,25,31,32,34,36,36,37,44,52
225,3,4,5,6,6,6,7,7,7,7,13,14,15,15,15,22,22,23,24,24,24,24,25,26,26,26,26,26,26,26,26,26,26
226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,0,0,1,1,7,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16
229,22,24,30,31,31,31,31,31,31,31,33,39,39,39,41,47,53,54,60,69,69,70,71,71,73,80,82,88,94,100,106,108,120
230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,6,8,8,10,10,10,10,10,10,10,10,10,11,11,12,12,13,13,14,20,21,27,32,32,34,40,42,48,54,63,69,71,90
233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,16,16,26,26,31,32,34,34,34,40,41,50,61,65,71,76,82,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,0,0,0,0,0,0,1,2,2,2,2,2,2,2,12,12,12,12,12,12,12,12,12,12,13,19,20,31,31,32,41,41,51
237,22,24,30,31,36,38,40,41,42,48,50,56,58,59,59,66,72,72,72,72,72,78,79,79,81,88,90,96,103,110,118,120,126
238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,4,5,5,11,17,25,23,24,23,23,24,25,27,28,28,29,34,40,42,42,43,45,49,49,51,66,69,69,69,70,71,71,71
240,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,8,9,10,11,11,11,13,24,31,31,31,31,31,31,31
241,10,10,16,31,37,43,41,41,41,42,49,50,52,53,52,53,59,59,59,63,64,65,65,65,65,72,78,78,86,87,87,87,87
242,6,6,6,6,6,7,12,14,16,16,17,18,19,20,20,20,20,21,23,24,25,25,25,25,31,32,33,33,39,40,42,43,50
243,0,0,0,1,1,2,2,2,4,12,13,13,15,15,16,16,22,29,29,29,29,29,29,29,29,29,29,30,31,31,33,34,35
244,3,3,4,10,16,22,21,23,24,24,24,24,25,27,33,34,40,40,49,51,52,54,54,54,56,57,57,57,57,57,57,57,57
245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,10,12,13,15
247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,6,7,7,13,19,28,28,33,35,36,43,43,44,49,48,49,55,56,57,58,59,59,58,58,59,59,60,60,66,66,67,68,67
250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,14,15,18,20,21,20,22,28,30,32,33,33,33,35,36,38,38,44,45,53,54,61,62,62,79,85,86,88,90,90,92,99,102
253,15,17,18,19,19,19,21,27,28,37,39,39,39,41,43,44,44,44,44,44,47,49,50,51,53,62,63,64,65,65,67,68,79
254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,1,2,2,3,3,7,7,7,7,7,7,7,7,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,25,26,39,45
257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,23,25,27,29,37,37,39,45,55,56,57,59,60,62,64,72,69,81,83,90,98,108,109,110,112,120,120,121,123,123,125,125,131
260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,0,1,3,5,6,6,8,19,22,24,26,29,30,32,32,40,40,45,47,53,54,55,57,58,60,65,65,67,67,67,68,67,74
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,10,14,15,16,16,24,22,22,22,27,29
265,15,15,17,17,17,17,20,20,22,23,23,23,23,23,23,23,29,30,30,31,32,32,32,32,32,33,34,41,50,57,63,69,69
266,0,0,0,6,6,7,9,10,11,11,12,18,25,27,29,30,36,38,38,39,40,42,43,44,45,50,50,50,50,51,52,58,60
267,11,17,25,27,29,30,31,39,45,46,51,57,57,57,57,58,58,58,58,60,61,63,64,65,66,66,67,73,74,79,88,95,98
268,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,14,23,24,33,34,34,34
269,1,2,4,9,17,18,20,21,23,23,24,30,36,38,39,40,41,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,7,7,14,22,36,36,36,41,41,40,41,48,57,68,70,71,77,79,79,80,80,83,84,85,85,85,85,85,85,91,97,102,102
272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
273,4,5,6,6,6,6,8,9,9,9,9,23,24,24,27,27,28,29,29,30,30,30,30,30,30,31,31,31,32,39,39,43,45
274,30,33,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
275,7,8,8,9,12,14,16,19,19,20,22,27,29,32,33,34,34,35,37,39,42,42,42,42,42,43,43,43,44,47,47,49,52
276,7,7,8,8,11,13,13,15,17,18,18,18,18,18,21,21,21,21,21,21,22,22,22,22,22,22,25,26,26,26,26,26,26
277,15,18,21,23,26,28,30,30,30,31,37,38,40,43,54,56,66,69,78,80,83,83,85,85,86,87,87,87,87,87,87,87,89
278,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
279,4,4,4,4,4,4,4,4,5,8,15,15,15,21,23,26,28,30,33,47,50,50,50,50,50,53,54,62,62,66,67,69,73
