"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"21","0.960527852","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"22","0.960527852","1.052355257","0.939066209","0.940155911","0.965638251","0.952074245","1.004643556","0.966403739","1.044169663","1.067555322","0.961043519","1.096226967","0.95927761","1.024919378","1","1.046265853","1.093759173","0.955791698","1.096694652","0.934409391","0.975867536","1.019198027","0.954673556","0.933509467","0.983327463","0.936405638","0.992878583","0.951511761","0.951597261","1.110947832","0.996238392","1.069119549","1.0114902","1.074858301","0.953303965","1.079652256","1","1.079368804"
"23","1.053369146","0.931602742","1.031097043","0.999355255","1.053955257","0.959100624","0.962588709","0.960560911","0.971674121","1.089771698","0.952269537","1","1.075376","1.032541777","0.958755321","1.091474871","0.959901368","1.055597957","0.95285622","1.082318415","0.979390523","0.981623907","1.0861907","0.943490386","0.98684983","1.025278832","1.089400271","0.96093267","0.959238252","0.947538575","1.014458681","1.072646056","0.970936554","0.919209421","0.957415565","1","0.953330791","1.11573884"
"24","1.053369146","0.966020125","0.976581963","0.961842799","0.934639567","0.942705741","0.9637569","1.095530237","0.952380952","0.974597328","1.069840898","0.957004972","1.021431294","1.03840516","0.956993982","1.106153124","1.072036635","1.020959314","1","1.007776963","1.085667313","0.937591734","0.986965712","0.945838838","0.935188447","0.936405638","1.069978224","0.982718521","1","1.067450404","1.074997061","1.016809686","0.960357342","0.970896596","1.104258443","0.948073308","0.94511748","1.077608963"
"25","1.053369146","0.966020125","0.976581963","0.961842799","0.934639567","0.942705741","0.9637569","1.095530237","0.952380952","0.974597328","1.069840898","0.957004972","1.021431294","1.03840516","0.956993982","1.106153124","1.072036635","1.020959314","1","1.007776963","1.085667313","0.937591734","0.986965712","0.945838838","0.935188447","0.936405638","1.069978224","0.982718521","1","1.067450404","1.074997061","1.016809686","0.960357342","0.970896596","1.104258443","0.948073308","0.94511748","1.077608963"
"26","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"27","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"28","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"29","1","1.068105586","0.980685249","1.049762616","0.955695277","1.036976315","1.038521071","1.048787613","0.960565933","1.06697068","0.95870379","0.961099737","0.938755167","0.945177367","1.08733304","0.954086426","0.97986262","0.993365819","0.983972289","0.940278797","1.093887617","0.993365819","0.961719117","1.058564509","0.949277915","1.06706689","1","0.986251362","0.980985688","0.986333578","0.926883743","1.031503468","0.963296012","1.060174444","0.973861968","0.94924812","1.082397114","0.964392562"
"30","1","0.990520636","1.054544389","0.957153742","1.07735049","1.061568639","1.044362022","0.948875256","0.965827706","0.962319857","1.032990173","0.940625914","0.974522853","0.942245676","0.955232643","1.059182715","0.972817472","1.085539834","1.002172254","0.981364637","0.963537079","1.100217225","1.062705496","1.071480992","1.08723729","0.965245284","0.990524395","0.958577443","1.029770476","0.975753123","0.926883743","1.075584813","0.973875224","0.957974803","0.996182085","0.911654135","0.956264117","1.099313662"
"31","1","1.068105586","0.980685249","1.049762616","0.955695277","1.036976315","1.038521071","1.048787613","0.960565933","1.06697068","0.95870379","0.961099737","0.938755167","0.945177367","1.08733304","0.954086426","0.97986262","0.993365819","0.983972289","0.940278797","1.093887617","0.993365819","0.961719117","1.058564509","0.949277915","1.06706689","1","0.986251362","0.980985688","0.986333578","0.926883743","1.031503468","0.963296012","1.060174444","0.973861968","0.94924812","1.082397114","0.964392562"
"32","1.074389817","0.950853143","1.055130572","1.053279409","1.055709899","1","0.973102421","1.04177622","0.965243065","0.957642726","0.965138044","1.026031003","0.946964144","0.951627089","0.965800675","0.943518084","0.996888393","0.97986262","1.088475313","0.937931034","1.064529388","0.937004638","1.101456083","1","1.084301984","0.982313646","1.084103349","0.96093267","1.079143033","1.033357825","0.95333255","0.977430351","0.977401628","0.963260991","0.952129222","0.993303571","0.979144056","0.914530416"
