"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
218,17,17,17,17,68,67,103,40,76,72,102,44,46,56,24,55,79,69,54,254,96,54,48,133,108,37,35,47,73,16,157,62,244,85,49,51,78,78
219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,76,76,76,76,304,327,153,335,81,226,163,231,170,38,11,6,18,78,119,889,260,863,691,2341,8274,9926,9528,2779,2028,1065,1699,875,541,718,591,4658,1308,1308
221,11830,11830,11830,11830,47321,21493,10423,7395,19583,26932,30525,7330,7383,7236,3457,1135,4713,4887,6777,8104,4966,9940,13899,17571,10397,8707,4508,6494,5078,1056,1583,2068,1168,4949,5023,6904,9937,9937
222,4,4,4,4,17,20,22,26,337,117,54,20,7,11,77,29,39,33,24,1465,115,587,2425,6262,26513,30993,21889,16125,10217,1188,2095,1404,993,617,517,3373,3556,3556
223,325,325,325,325,1300,1410,989,1731,2028,880,871,1192,406,920,214,160,233,179,567,1996,540,1049,735,1453,1618,4208,437,635,427,372,1496,2064,1148,959,821,2171,978,978
224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,911,484,1090,4636,4372,50998,958,1385,617,748,665,548,62,190,1080,NA,NA
225,30,30,30,30,122,297,279,186,71,179,222,71,55,45,248,116,216,223,82,2134,193,293,89,116,51,71,349,48,27,5,9,8,15,10,8,39,176,176
226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,27,34,36,25,14,11,34,NA,NA
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,43,43,43,43,173,225,334,111,750,1591,11581,906,297,309,62,61,66,78,36,65,37,22,26,34,21,39,49,33,29,8,12,20,27,16,10,15,497,497
229,4440,4440,4440,4440,17760,5363,12813,817,327,255,344,170,482,1753,6446,3636,524,574,897,3583,2189,1193,5087,5070,5641,574,568,2490,4396,5090,4730,10473,4283,2440,3111,3361,3618,3618
230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,18,18,18,18,72,34,44,48,23,54,46,20,23,30,20,17,19,9,20,42,27,28,23,34,19,12,10,12,20,9,15,12,8,13,9,18,30,30
232,164,164,164,164,657,653,379,689,163,124,26,12,13,37,64,56,102,216,83,124,1254,394,7520,3265,3316,2732,3044,21666,33254,17445,22707,26753,8561,10980,15847,30927,5225,5225
