FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Saido,Berahino,FWD,STK,5600000,0,20,0.606060606060606,1.08225108225108E-07,3.57142857142857E-06,0,35626,0,13,0,0,0,0,0,3.6,41,-4,0,20,4,0.1,1,0.5,0,0,2,0,1,0.3,15310,0,0,0,0,483,9,0,0,42,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0.3,0.3,0.3,0.3,0.3,23.7
Steven,Berghuis,MID,WAT,5000000,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,0,0,0,0,0,0
,Bernardo Silva,MID,MCI,7300000,2,87,2.71875,3.72431506849315E-07,1.19178082191781E-05,0,197307,0,9,0,0,0,4,0,11.9,2913,-7,0,87,7,0.2,0,1.3,3,0,7,0,5,1.3,151148,0,0,0,1,1226,382,0,0,353,Tottenham,Swansea,West Ham,Huddersfield,Brighton,1.5,2.5,2,5.3,2.2,110.1
Ryan,Bertrand,DEF,SOU,5300000,1,78,2.7,5.09433962264151E-07,1.47169811320755E-05,0,799245,1,44,0,0,0,0,0,14.7,616,-2,0,78,2,0.2,0,1,4,0,5,0,4,5,304624,0,0,0,1,2605,748,0,0,456,Chelsea,Leicester,Bournemouth,Everton,Swansea,4.8,0,2.2,3.9,2.2,118.4
Muhamed,Besic,MID,EVE,4200000,0,2,1,2.38095238095238E-07,4.76190476190476E-07,0,15377,0,0,0,0,0,0,0,0.5,23,-3,0,2,3,0,0,0,0,0,0,0,0,0.2,11637,0,0,0,0,46,5,0,0,10,Swansea,Newcastle,Huddersfield,Southampton,West Ham,0,0,0,0,0,3
Philip,Billing,MID,HUD,4400000,1,17,0.515151515151515,1.17079889807163E-07,3.86363636363636E-06,0,38468,3,9,0,0,0,0,0,3.9,16,-1,0,17,1,0.1,0,0.3,0,0,3,0,0,0.2,32133,0,0,0,0,610,5,0,0,75,Watford,Everton,Man City,Chelsea,Arsenal,0.3,0,0.3,0.6,0.3,16.2
Daley,Blind,DEF,MUN,5100000,0,20,0.625,1.22549019607843E-07,3.92156862745098E-06,0,189384,0,0,0,0,0,0,0,3.9,37,-4,0,20,4,0,0,0,0,0,3,0,0,0.9,135835,0,0,0,0,274,50,0,0,88,West Brom,Bournemouth,Arsenal,Brighton,West Ham,0.6,0,0.3,0.6,0.3,15.1
Jeremie,Boga,MID,CHE,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,997,0,0,0,0,0,0,0,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,17,2,0,0,1,Southampton,Burnley,Swansea,Liverpool,Huddersfield,0,0,0,0,0,0
,Bojan,MID,STK,5500000,0,2,2,3.63636363636364E-07,3.63636363636364E-07,0,6603,0,1,0,0,0,0,0,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1883,0,0,0,0,71,1,0,0,5,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0,0,0,0,0,1.9
Yannick,Bolasie,MID,EVE,6400000,3,30,0.909090909090909,1.42045454545455E-07,4.6875E-06,0,14229,0,13,0,0,0,1,0,4.7,336,-1,0,30,1,0.6,0,4,0,0,3,0,1,0.2,15660,0,0,0,0,663,461,0,0,70,Swansea,Newcastle,Huddersfield,Southampton,West Ham,0.5,0.5,0.5,0.5,0.5,27.9
