FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marc,Albrighton,MID,LEI,5600000,5,95,3.4,6.07142857142857E-07,1.69642857142857E-05,0,323092,5,34,0,0,0,2,0,17,7009,1,0,95,-1,0.5,0,3,12,0,6,0,7,3.5,408960,0,0,0,2,2107,14946,0,0,391,Bournemouth,West Brom,Brighton,Newcastle,Burnley,3.7,2.8,0,2.3,3.7,2.7,3.3,2.6,3.9,2.1,132.6
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.35714285714286,2.33990147783251E-07,6.55172413793103E-06,0,653139,3,7,0,0,0,0,0,6.6,2551,-2,0,38,2,0,0,0,3,0,5,0,0,4.6,165933,0,0,0,0,900,146,0,0,200,Huddersfield,Bournemouth,Chelsea,Stoke,Man City,0,0,0,0.7,0.8,0.7,0.7,1.1,0.7,0.9,27.7
Trent,Alexander-Arnold,DEF,LIV,4300000,2,44,1.57142857142857,3.65448504983389E-07,1.02325581395349E-05,0,285215,3,13,0,0,0,1,0,10.2,4649,-2,0,44,2,0.6,0,2.7,4,0,4,0,1,3.3,333956,0,0,0,1,979,12084,0,0,235,Newcastle,Man Utd,Watford,Crystal Palace,Everton,1,0.8,1.3,1.6,0.8,1,0.8,1.4,0.9,1.4,60
Joe,Allen,MID,STK,5100000,4,85,3.3,6.47058823529412E-07,1.66666666666667E-05,0,223967,6,42,0,0,0,2,0,16.7,3475,-4,0,85,4,0.5,0,2.7,10,0,4,0,5,1.9,115598,0,0,0,2,2322,3771,0,0,399,Southampton,Man City,Everton,Arsenal,Tottenham,2.8,2.2,4.3,2.2,2.9,2.5,3.3,1.9,3.4,2.7,122.4
Bamidele,Alli,MID,TOT,8900000,3,122,4.5,5.0561797752809E-07,1.37078651685393E-05,0,2101540,5,22,0,0,0,5,0,13.7,11982,-6,0,122,6,0.3,0,2.3,7,0,12,0,10,12.3,1016674,0,0,0,2,2275,15708,0,0,383,Huddersfield,Bournemouth,Chelsea,Stoke,Man City,6.1,4.5,0,3.7,4.1,3.7,3.7,5,4.3,5.5,201.1
Marcos,Alonso,DEF,CHE,7200000,1,139,5.3,7.36111111111111E-07,1.93055555555556E-05,0,1448663,5,21,0,0,0,6,0,19.3,40271,2,0,139,-2,0,0,0.3,13,0,12,0,1,19.7,1557470,0,0,0,4,2233,9345,0,0,539,Man City,Crystal Palace,Tottenham,West Ham,Southampton,5.4,7.6,0,7,7.8,6.8,7.5,5.7,7.2,5.6,168.5
Daniel,Amartey,MID,LEI,4300000,0,12,0.428571428571429,9.96677740863787E-08,2.7906976744186E-06,0,24056,0,7,0,0,0,0,0,2.8,680,-2,0,12,2,0,0,0,0,0,3,0,0,0.3,23671,0,0,0,0,467,148,0,1,50,Bournemouth,West Brom,Brighton,Newcastle,Burnley,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,0.0357142857142857,7.93650793650794E-09,2.22222222222222E-07,0,627,0,1,0,0,0,0,0,0.2,33,0,0,1,0,0,0,0,0,0,0,0,0,0,756,0,0,0,0,10,14,0,0,6,Man City,Crystal Palace,Tottenham,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2,4E-07,1.2E-06,0,7638,0,3,0,0,0,0,0,1.2,1,0,0,6,0,0,0,0,0,0,1,0,0,0,3626,0,0,0,0,198,0,0,0,11,West Brom,Arsenal,Liverpool,Bournemouth,Burnley,0,0,0,0,0,0,0,0,0,0,8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,50930,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0.4,59588,0,0,0,0,0,33,0,0,0,Man Utd,Chelsea,Huddersfield,Liverpool,Bournemouth,0,0,0,0,0,0,0,0,0,0,0
