FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Nicolas,Otamendi,DEF,MCI,5700000,5,39,5.6,9.82456140350877E-07,6.84210526315789E-06,0,197067,3,2,0,0,0,1,0,6.8,28126,2,0,39,-2,1.4,0,7.7,2,0,5,0,0,15.6,651484,0,0,0,1,610,98878,0,0,182,Stoke,Burnley,West Brom,Arsenal,Leicester,7.7,6.5,7.2,8.4,5.5,7.7,6.5,8.4,5.2,8.1,5.7,7.6,6.7,7.7,6.2,5.9,7.3,7.8,7.7,6.3,4.6,5.8,6.7,8.4,6,5.7,8.4,5.5,6.1,7.2,8.4,27.4
Mesut,Ozil,MID,ARS,9300000,0,9,1.8,1.93548387096774E-07,9.67741935483871E-07,0,98037,1,8,0,0,0,0,0,1,8311,-2,1,9,2,0,0,0.3,0,0,1,0,0,1.5,35034,0,0,0,0,367,751,-1,0,63,Watford,Everton,Swansea,Man City,Tottenham,0.9,0.9,1.8,0.9,1.1,0.9,1.6,1.2,0.9,0.9,2,1.8,0.9,0.9,1.4,0.9,2.1,1,2.4,0.9,1.1,0.9,1.1,0.9,1.8,1.4,0.9,2.5,0.9,1.5,0.9,34.8
Kasey,Palmer,MID,HUD,5300000,0,3,0.142857142857143,2.69541778975741E-08,5.66037735849057E-07,0,3837,2,0,0,0,0,0,0,0.6,190,-2,0,3,2,0,0,0,0,0,1,0,0,0,753,0,0,0,0,123,7,0,0,3,Swansea,Man Utd,Liverpool,West Brom,Bournemouth,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.1
Costel,Pantilimon,GLK,WAT,4500000,0,0,0,0,0,0,3749,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0.1,229,0,0,0,0,0,8,0,0,0,Arsenal,Chelsea,Stoke,Everton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Payne,MID,HUD,4500000,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,9,0,0,0,Swansea,Man Utd,Liverpool,West Brom,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pedro,MID,CHE,7900000,1,19,0.904761904761905,1.14526823387583E-07,2.40506329113924E-06,0,145820,0,2,0,0,0,1,0,2.4,11845,-1,0,19,1,0.4,0,3.3,0,0,2,0,1,1.8,80391,0,0,0,0,278,23803,0,0,51,Crystal Palace,Watford,Bournemouth,Man Utd,West Brom,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.8,0.5,0.5,21
Matthew,Pennington,DEF,EVE,4000000,0,0,0,0,0,0,3399,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0.1,951,0,0,0,0,0,73,0,0,0,Brighton,Arsenal,Leicester,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas,Pereira,MID,MUN,4900000,0,0,0,0,0,0,3577,0,0,0,0,0,0,0,0,112,-1,0,0,1,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,3,0,0,0,Liverpool,Huddersfield,Tottenham,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto,Pereyra,MID,WAT,5800000,1,4,0.19047619047619,3.28407224958949E-08,6.89655172413793E-07,0,8524,0,3,0,0,0,0,0,0.7,360,-2,0,4,2,0.2,0,1,0,0,0,0,0,0.1,1337,0,0,0,0,118,243,0,0,10,Arsenal,Chelsea,Stoke,Everton,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.9
Ayoze,Perez,FWD,NEW,5400000,1,16,2.3,4.25925925925926E-07,2.96296296296296E-06,0,63560,1,6,0,0,0,0,0,2.9,7362,-1,1,16,1,0.3,0,1.7,0,0,2,0,1,1,45130,0,0,0,0,614,3591,-1,0,32,Southampton,Crystal Palace,Burnley,Bournemouth,Man Utd,1.8,3,1.6,2.7,1.2,1.5,1.3,1.5,2.4,2.8,1.2,1.2,1.5,2.8,1.8,1.4,1.2,1.7,2.5,1.7,1.7,1.3,1.5,1.7,1.8,1.4,3,1.8,2.3,2.2,1.3,33.4
