FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Leighton,Baines,DEF,EVE,5600000,0,36,1.2,2.14285714285714E-07,6.42857142857143E-06,0,434145,1,25,0,0,0,2,0,6.4,2,-4,0,36,4,0,0,0,2,0,1,0,1,3.2,67504,0,0,0,1,1099,4,0,0,189,Stoke,Man City,Liverpool,Swansea,Newcastle,0.6,0.7,0.9,0.6,0.7,0.6,0.8,0.6,51
Tiemoue,Bakayoko,MID,CHE,4900000,0,67,2.8,5.71428571428571E-07,1.36734693877551E-05,0,345534,2,19,0,0,0,2,0,13.7,8,-1,0,67,1,0,0,0,5,0,9,0,2,1.3,357938,0,0,0,1,1759,0,0,1,306,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0,0,3,2.2,3.2,2.1,2.1,2.3,100.1
Sam,Baldock,FWD,BHA,4900000,0,1,0.0333333333333333,6.80272108843537E-09,2.04081632653061E-07,0,2704,0,0,0,0,0,0,0,0.2,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,2299,0,0,0,0,24,0,0,0,1,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0,0,0,0,0,0,0,0,0.7
Beni,Baningime,MID,EVE,4500000,0,5,0.166666666666667,3.7037037037037E-08,1.11111111111111E-06,0,450,0,1,0,0,0,0,0,1.1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,145,0,0,0,17,Stoke,Man City,Liverpool,Swansea,Newcastle,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Phil,Bardsley,DEF,BUR,4300000,0,33,1.1,2.55813953488372E-07,7.67441860465116E-06,0,59417,5,13,0,0,0,0,0,7.7,4,-2,0,33,2,0,0,0,0,0,4,0,0,0.5,79395,0,0,0,0,1125,0,0,0,193,West Brom,Watford,Leicester,Stoke,Brighton,0,0.6,0.6,0.6,0.6,0.8,0.6,0.6,38.3
Ross,Barkley,MID,CHE,7300000,0,1,0.0333333333333333,4.5662100456621E-09,1.36986301369863E-07,0,14294,0,1,0,0,0,0,0,0.1,0,-2,0,1,2,0,0,0,0,0,0,0,0,0.2,5486,0,0,0,0,53,0,0,0,4,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0,0,0,0,0,0,0,0,3.9
Ashley,Barnes,FWD,BUR,5200000,0,59,2.1,4.03846153846154E-07,1.13461538461538E-05,0,101852,7,16,0,0,0,5,0,11.3,4,-3,0,59,3,0.7,0,3.8,4,0,3,0,0,1.3,124237,0,0,0,0,1524,29,0,0,180,West Brom,Watford,Leicester,Stoke,Brighton,0,1.5,1.5,2.1,1.7,2.1,1.1,2,105.7
Modou,Barrow,MID,SWA,5000000,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,Man Utd,West Brom,Everton,Man City,Chelsea,0,0,0,0,0,0,0,0,0
Gareth,Barry,MID,WBA,4500000,0,56,2.2,4.88888888888889E-07,1.24444444444444E-05,0,128883,4,35,0,0,0,1,0,12.4,11,0,0,56,0,0.2,0,1,0,0,4,0,2,0.9,70585,0,0,0,0,1921,1,0,0,287,Bournemouth,Burnley,Swansea,Man Utd,Liverpool,1.4,1.9,2,1.1,1.5,1.4,1.7,1.2,82
Kyle,Bartley,DEF,SWA,4300000,0,4,0.133333333333333,3.10077519379845E-08,9.30232558139535E-07,0,5662,1,2,0,0,0,0,0,0.9,0,-2,0,4,2,0,0,0,0,0,0,0,0,0.1,1301,0,0,0,0,165,0,0,0,24,Man Utd,West Brom,Everton,Man City,Chelsea,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.59259259259259E-07,3.08641975308642E-06,0,181379,0,7,0,0,0,2,0,3.1,2,-4,0,25,4,0,0,0,3,0,1,0,1,0.5,121624,1,0,0,1,351,0,0,0,77,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0,0,0,0,0,0,0,0,25.7
Moritz,Bauer,DEF,STK,4500000,0,22,0.733333333333333,1.62962962962963E-07,4.88888888888889E-06,0,12091,2,7,0,0,0,0,0,4.9,2,0,0,22,0,0.6,0,2.5,0,0,3,0,0,0.7,55335,0,0,0,0,630,11,0,0,115,Everton,Arsenal,Tottenham,West Ham,Burnley,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,23.7
Jan,Bednarek,DEF,SOU,4100000,0,0,0,0,0,0,9552,0,0,0,0,0,0,0,0,0,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,2552,0,0,0,0,0,0,0,0,0,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0,0,0,0,0,0,0,0,0
