FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Kyle,Walker,DEF,MCI,6500000,0,142,3.73684210526316,5.74898785425101E-07,2.18461538461538E-05,0,0,8,21,0,0,0,0,0,0,0,0,0,142,0,0,0,0,18,0,14,0,6,21.8,0,0,0,0,0,2701,0,0,0,640,Brighton,Everton,Bournemouth,Liverpool,Watford,4.6,5.3,2.3,3.8,3.3,5.2,3.6,5.2,4.7,3.7,5,2.8,4.6,5.1,5.2,3.3,4.1,4.1,3,4.6,4.5,4,3.1,5.3,4.4,4,3.6,4.3,4.4,4.5,5.3,4.6,4,3.4,4.8,4.5,5.3,4.5,140.2
Kyle,Walker-Peters,DEF,TOT,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,Newcastle,Chelsea,Burnley,Everton,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan,Walters,MID,BUR,5500000,0,72,5.20821297367579E-27,9.46947813395598E-34,1.30909090909091E-05,0,0,1,22,0,0,0,4,0,0,0,0,0,72,0,0,0,0,3,0,6,0,3,0.8,0,0,0,0,0,1304,0,0,0,195,Chelsea,West Brom,Tottenham,Crystal Palace,Liverpool,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
Victor,Wanyama,MID,TOT,5000000,0,103,2.71052631578947,5.42105263157895E-07,2.06E-05,0,0,10,25,0,0,0,4,0,0,0,0,0,103,0,0,0,0,7,0,12,0,2,1.2,0,0,0,0,0,3012,0,0,0,578,Newcastle,Chelsea,Burnley,Everton,Swansea,0,2.3,2.8,1.9,2.5,1.5,3.4,2.7,2,1.7,2.4,1.4,2.4,2.1,2.4,2.6,3.8,1.5,2.3,2.4,1.9,2,2.4,1.9,2.2,1.5,1.8,1.9,3.8,2.2,3.8,1.8,2.1,2,3.4,3,1.9,2.6,157.7
Joel,Ward,DEF,CRY,5000000,0,86,2.26315789473684,4.52631578947368E-07,1.72E-05,0,0,7,63,0,0,0,0,0,0,0,0,0,86,0,0,0,0,7,0,7,0,1,0.7,0,0,0,0,0,3417,0,0,0,568,Huddersfield,Liverpool,Swansea,Burnley,Southampton,3.2,1.4,2.4,1.9,2.6,1.7,1.5,2.1,2.8,2.6,1.5,3.1,2.6,2.8,1.7,1.3,1.9,1.2,1.9,2.5,2.1,2.1,2.3,2,2.2,3.2,2.7,1.9,1.9,1.7,2.8,1.8,1.1,3.2,1.5,1.6,2.1,2.1,100.4
Stephen,Ward,DEF,BUR,4500000,0,91,2.39473684210526,5.32163742690059E-07,2.02222222222222E-05,0,0,5,53,0,0,0,1,0,0,0,0,0,91,0,0,0,0,3,0,8,0,1,2.5,0,0,0,0,0,3230,0,0,0,596,Chelsea,West Brom,Tottenham,Crystal Palace,Liverpool,1.8,2.3,1.7,2.8,1.5,3.4,2.9,2.9,1.8,3.4,2.3,2.6,2.7,1.2,1.3,2.1,2.8,3,2.1,1.6,3,1.9,2.4,2.1,3,2.3,2.1,2.8,3.4,2.4,2.3,1.8,1.6,1.8,2.3,3.4,2.2,1.5,118.3
James,Ward-Prowse,MID,SOU,5500000,0,92,6.65493879969684E-27,1.20998887267215E-33,1.67272727272727E-05,0,0,4,26,0,0,0,4,0,0,0,0,0,92,0,0,0,0,5,0,9,0,4,2.9,0,0,0,0,0,1883,0,0,0,377,Swansea,West Ham,Huddersfield,Watford,Crystal Palace,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.7
Ben,Watson,MID,WAT,4500000,0,1,7.23362913010526E-29,1.60747314002339E-35,2.22222222222222E-07,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,54,0,0,1,6,Liverpool,Bournemouth,Brighton,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
Danny,Welbeck,FWD,ARS,7500000,0,37,0.973684210526316,1.29824561403509E-07,4.93333333333333E-06,0,0,0,11,0,0,0,2,0,0,0,0,0,37,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,748,0,0,0,117,Leicester,Stoke,Liverpool,Bournemouth,Chelsea,0.5,0.5,0.5,0.5,0.5,0.6,1.4,0.5,0,0.6,0.5,0.5,0.5,1.4,0.5,0.5,0.5,1.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,1.2,0.6,0.5,0.6,0.5,1.2,0.5,0.5,0.6,1.2,55.5
Nahki,Wells,FWD,HUD,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,Crystal Palace,Newcastle,Southampton,West Ham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
