FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rekeem,Harper,MID,WBA,4500000,0,1,0.0285714285714286,6.34920634920635E-09,2.22222222222222E-07,0,2247,0,0,0,0,0,0,0,0.2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1472,0,0,0,0,20,4,0,0,6,Newcastle,Tottenham,Crystal Palace,,,0,0,0,2.7
Joe,Hart,GLK,WHU,4200000,1,59,3.1,7.38095238095238E-07,1.4047619047619E-05,0,530092,0,39,0,54,0,0,0,14,1399,-3,0,59,3,0.8,0,3.3,3,0,4,0,1,5.8,193858,0,0,1,1,1710,3469,0,0,341,Man City,Leicester,Man Utd,Everton,,0,5.6,3.2,40.2
Jakob,Haugaard,GLK,STK,4000000,0,0,0,0,0,0,2974,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5940,0,0,0,0,0,16,0,0,0,Liverpool,Crystal Palace,Swansea,,,0,0,0,0
Isaac,Hayden,MID,NEW,4400000,0,40,1.17647058823529,2.67379679144385E-07,9.09090909090909E-06,0,28570,7,25,0,0,0,1,0,9.1,29,-1,0,40,1,0.1,0,0.5,0,0,3,0,0,0.2,26009,0,0,0,0,1347,19,0,0,170,West Brom,Watford,Tottenham,Chelsea,,0.8,1.2,0.6,57.8
Eden,Hazard,MID,CHE,10500000,0,161,5.4,5.14285714285714E-07,1.53333333333333E-05,0,1340182,2,24,0,0,0,12,0,15.3,4149,0,0,161,0,0.3,0,3,24,0,10,0,5,6.1,1516109,0,0,0,5,2140,3890,0,0,645,Swansea,Liverpool,Huddersfield,Newcastle,,5.8,13.5,5.8,291.8
Tom,Heaton,GLK,BUR,4700000,0,8,0.228571428571429,4.86322188449848E-08,1.70212765957447E-06,0,366144,0,4,0,8,0,0,0,1.7,92,-3,0,8,3,0,0,0,0,0,0,0,0,1.8,20159,0,0,0,0,305,25,0,0,48,Brighton,Arsenal,Bournemouth,,,0.1,0.1,0.1,5.3
Michael,Hefele,DEF,HUD,4200000,0,1,0.5,1.19047619047619E-07,2.38095238095238E-07,0,9160,1,1,0,0,0,0,0,0.2,6,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,2754,0,0,0,0,32,5,0,0,1,Everton,Man City,Chelsea,Arsenal,,0,0,0,0.4
Ahmed El-Sayed,Hegazi,DEF,WBA,4600000,1,99,2.8,6.08695652173913E-07,2.15217391304348E-05,0,1526334,3,53,0,0,0,2,0,21.5,6301,1,0,99,-1,0.6,0,2.8,8,0,8,0,0,18.2,1960833,0,0,0,1,3116,2737,0,0,574,Newcastle,Tottenham,Crystal Palace,,,1.8,3,3.4,117.1
Tomer,Hemed,FWD,BHA,4600000,0,43,2.7,5.8695652173913E-07,9.34782608695652E-06,0,281599,0,8,0,0,0,2,0,9.3,459,-4,0,43,4,0,0,0,5,0,3,0,2,1,303559,0,0,0,0,842,310,0,0,110,Burnley,Man Utd,Man City,Liverpool,,2,4.6,1.5,44.2
Jordan,Henderson,MID,LIV,5300000,2,68,1.94285714285714,3.66576819407008E-07,1.28301886792453E-05,0,166677,1,21,0,0,0,1,0,12.8,133,-2,0,68,2,0.5,0,2.5,3,0,12,0,1,1.1,128411,0,0,0,0,1958,173,0,0,342,Stoke,Chelsea,Brighton,,,1.5,1,1.6,90.2
Jeff,Hendrick,MID,BUR,5400000,1,80,2.6,4.81481481481482E-07,1.48148148148148E-05,0,25561,1,21,0,0,0,2,0,14.8,130,-1,0,80,1,0.1,0,0.8,1,0,9,0,2,0.2,26136,0,0,0,0,2137,23,0,0,277,Brighton,Arsenal,Bournemouth,,,2.3,1.6,2.4,89.9
Wayne,Hennessey,GLK,CRY,4400000,10,85,3.5,7.95454545454545E-07,1.93181818181818E-05,0,128390,1,40,0,89,0,0,0,19.3,1539,-1,0,85,1,0.8,0,3.5,11,0,5,0,0,2.8,204540,0,0,0,2,2160,2728,0,0,453,Leicester,Stoke,West Brom,,,3.5,3.7,3.8,59.6
Dion,Henry,GLK,CRY,4000000,0,0,0,0,0,0,3604,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7423,0,0,0,0,0,15,0,0,0,Leicester,Stoke,West Brom,,,0,0,0,0
Ander,Herrera,MID,MUN,5000000,0,38,1.11764705882353,2.23529411764706E-07,7.6E-06,0,198490,5,13,0,0,0,0,0,7.6,83,-5,0,38,5,0.5,0,2.3,0,0,4,0,2,1.3,29357,0,0,0,0,1091,417,0,0,202,Arsenal,Brighton,West Ham,Watford,,0.7,1.2,0.6,56.6
Wesley,Hoedt,DEF,SOU,5000000,0,60,2.5,5E-07,1.2E-05,0,9706,6,39,0,0,0,0,0,12,57,0,0,60,0,0.6,0,2.8,8,0,4,0,2,0.1,13090,0,0,0,0,2160,190,0,0,453,Bournemouth,Everton,Swansea,Man City,,2,3.4,2,79
Jonathan,Hogg,MID,HUD,4400000,0,45,1.7,3.86363636363636E-07,1.02272727272727E-05,0,36032,7,37,0,0,0,0,0,10.2,63,-1,0,45,1,0.5,0,2,0,0,6,0,0,0.2,43916,0,0,0,0,2069,30,0,1,342,Everton,Man City,Chelsea,Arsenal,,1.7,1.6,1.5,61.2
Pierre-Emile,H?jbjerg,MID,SOU,4300000,0,33,0.970588235294118,2.25718194254446E-07,7.67441860465116E-06,0,37430,4,28,0,0,0,0,0,7.7,178,-2,0,33,2,0.5,0,2,0,0,2,0,0,0.4,42779,0,0,0,0,1378,268,0,0,223,Bournemouth,Everton,Swansea,Man City,,0.5,1,0.5,58.3
