"Surname"	"gw_1"	"ge_2"	"ge_3"
"38"	"Bednarek"	0.497499626025198	1.4974996260252	2.4974996260252
"39"	"Begovic"	2.2774543008168	3.2774543008168	4.2774543008168
"40"	"Behrami"	0.651757012166137	1.65175701216614	2.65175701216614
"41"	"Bellerin"	4.05694480506816	5.05694480506816	6.05694480506816
"42"	"Benalouane"	0.651514524486163	1.65151452448616	2.65151452448616
"43"	"Benteke"	1.82981181886861	2.82981181886861	3.82981181886861
"44"	"Berahino"	0.946310950323493	1.94631095032349	2.94631095032349
"45"	"Berghuis"	0.65018931812083	1.65018931812083	2.65018931812083
"46"	"Bernardo Silva"	0.933808519449247	1.93380851944925	2.93380851944925
"47"	"Bertrand"	3.72052941476617	4.72052941476617	5.72052941476617
"48"	"Besic"	0.500522246150353	1.50052224615035	2.50052224615035
"49"	"Billing"	0.948476387694208	1.94847638769421	2.94847638769421
"50"	"Blind"	1.01271414177998	2.01271414177998	3.01271414177998
"51"	"Boga"	0.652614194920579	1.65261419492058	2.65261419492058
"52"	"Bojan"	0.654181888965887	1.65418188896589	2.65418188896589
"53"	"Bolasie"	0.656606765765636	1.65660676576564	2.65660676576564
"54"	"Bong"	0.651514524486163	1.65151452448616	2.65151452448616
"55"	"Boruc"	0.841710087828874	1.84171008782887	2.84171008782887
"56"	"Boufal"	1.13637843387444	2.13637843387444	3.13637843387444
"57"	"Brad Smith"	0.84313808386403	1.84313808386403	2.84313808386403
"58"	"Brady"	2.94835885381268	3.94835885381268	4.94835885381268
"59"	"Bravo"	0.795431439953143	1.79543143995314	2.79543143995314
"60"	"Britos"	0.769286946244007	1.76928694624401	2.76928694624401
"61"	"Britton"	0.651757012166137	1.65175701216614	2.65175701216614
"62"	"Brown"	0.497144370379766	1.49714437037977	2.49714437037977
"63"	"Bruno"	2.33967893115154	3.33967893115154	4.33967893115154
"64"	"Brunt"	1.88867771921713	2.88867771921713	3.88867771921713
"65"	"Bunn"	0.648976879720956	1.64897687972096	2.64897687972096
"66"	"Butland"	1.89244411159965	2.89244411159965	3.89244411159965
"67"	"Byram"	0.654294656931344	1.65429465693134	2.65429465693134
"68"	"Caballero"	0.652726962886037	1.65272696288604	2.65272696288604
"69"	"Cabaye"	1.7094034372373	2.7094034372373	3.7094034372373
"70"	"Cahill"	3.01744653989178	4.01744653989178	5.01744653989178
"71"	"Callum Wilson"	0.498599296459615	1.49859929645961	2.49859929645961
"72"	"Calvert-Lewin"	1.19259595624636	2.19259595624636	3.19259595624636
"73"	"Cameron"	0.985000295171691	1.98500029517169	2.98500029517169
"74"	"Can"	2.60300450192429	3.60300450192429	4.60300450192429
"75"	"Capoue"	1.31984371419174	2.31984371419174	3.31984371419174
"76"	"Carrick"	0.483216778109165	1.48321677810917	2.48321677810917
"77"	"Carroll"	1.75501233523313	2.75501233523313	3.75501233523313
"78"	"Carroll"	1.95772949434703	2.95772949434703	3.95772949434703
"79"	"Carter-Vickers"	0.648976879720956	1.64897687972096	2.64897687972096
"80"	"Cathcart"	0.648976879720956	1.64897687972096	2.64897687972096
"81"	"Cazorla"	0.655039071720328	1.65503907172033	2.65503907172033
"82"	"Cech"	5.47842858757953	6.47842858757953	7.47842858757953
"83"	"Cedric"	3.47869684332019	4.47869684332019	5.47869684332019
"84"	"Chadli"	0.506454718435208	1.50645471843521	2.50645471843521
"85"	"Chalobah"	2.07575602200324	3.07575602200324	4.07575602200324
"86"	"Chamberlain"	1.42810388323131	2.42810388323131	3.42810388323131
"87"	"Chambers"	0.69734878001909	1.69734878001909	2.69734878001909
"88"	"Chicharito"	4.20537742932153	5.20537742932153	6.20537742932153
"89"	"Chilwell"	1.31199011053272	2.31199011053272	3.31199011053272
"90"	"Choupo-Moting"	4.85172370468183	5.85172370468183	6.85172370468183
"91"	"Christensen"	0.984419681989166	1.98441968198917	2.98441968198917
"92"	"Clark"	2.43119794430543	3.43119794430543	4.43119794430543
"93"	"Clasie"	0.654294656931344	1.65429465693134	2.65429465693134
"94"	"Cleverley"	2.76063241466365	3.76063241466365	4.76063241466365
"95"	"Clyne"	0.701583838544122	1.70158383854412	2.70158383854412
"96"	"Colback"	0.710279491525097	1.7102794915251	2.7102794915251
"97"	"Coleman"	0.695026692889165	1.69502669288917	2.69502669288917
"98"	"Coleman"	0.662167030655998	1.662167030656	2.662167030656
