FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Ederson,GLK,MCI,5500000,2,50,3.8,6.90909090909091E-07,9.09090909090909E-06,0,151994,0,8,0,16,0,0,0,9.1,5913,0,0,50,0,0.6,0,3.3,2,0,6,0,0,5.1,157141,0,0,0,0,1125,6512,0,0,217,Southampton,West Ham,Man Utd,Swansea,Tottenham,4,5.1,2.7,4,4.3,4,3.7,4.6,4.1,3.5,4.3,4.9,4.3,3.7,3.1,3.7,4.1,4.9,3.1,4.3,4.1,3.6,4.2,5.3,4.2,14.7
,Eduardo,GLK,CHE,4800000,0,0,0,0,0,0,2662,0,0,0,0,0,0,0,0,60,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,679,0,0,0,0,0,16,0,0,0,Swansea,Newcastle,West Ham,Huddersfield,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas,Edwards,DEF,STK,4000000,0,0,0,0,0,0,943,0,3,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,2205,0,0,0,0,52,175,0,0,12,Liverpool,Swansea,Tottenham,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
Robert,Elliot,GLK,NEW,4200000,1,42,3.2,7.61904761904762E-07,1E-05,0,203062,0,17,0,31,0,0,0,10,15462,2,0,42,-2,0.5,0,2,2,0,3,0,0,26.4,718104,0,0,0,2,1170,12163,0,0,212,West Brom,Chelsea,Leicester,Everton,Arsenal,3,3,3.1,3.1,2.1,2.9,2.6,4.1,2.8,3,2.1,3.5,3.6,3.6,2.6,2.4,3.4,2.8,4.5,2.3,4.2,2,4.1,3.7,3.1,25
Mohamed,Elneny,MID,ARS,4300000,0,11,0.846153846153846,1.96779964221825E-07,2.55813953488372E-06,0,192480,1,5,0,0,0,0,0,2.6,6305,-2,0,11,2,0,0,0,0,0,1,0,1,2.5,156532,0,0,0,0,263,4874,0,0,54,Huddersfield,Man Utd,Southampton,West Ham,Newcastle,0.6,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,14.8
Christian,Eriksen,MID,TOT,9400000,2,67,5.2,5.53191489361702E-07,7.12765957446809E-06,0,1079360,0,8,0,0,0,3,0,7.1,165823,-1,1,67,1,0.2,0,2.3,10,0,7,0,3,18.4,1152608,0,0,0,2,1103,4329,-1,0,267,Leicester,Watford,Stoke,Brighton,Man City,5.6,5.9,6.1,5.9,4,5.8,5.9,7.1,7,7.5,5.8,6.3,4,7.2,5.3,7.3,6.2,7,5.7,5.3,4.3,4.9,4.8,5.6,6.4,113.2
Jonny,Evans,DEF,WBA,4900000,2,20,2,4.08163265306122E-07,4.08163265306122E-06,0,41463,3,17,0,0,0,1,0,4.1,1069,-1,0,20,1,0.3,0,1.3,0,0,1,0,0,0.7,35908,0,0,0,0,841,1716,0,0,158,Newcastle,Crystal Palace,Swansea,Liverpool,Man Utd,1.8,3,1.3,1.1,1.8,1.3,1.5,2.2,1.4,2.1,1,1,1.6,1.4,2.4,1.9,1.5,1.2,1.7,1.4,1,2.1,1.2,1.8,2.2,27.3
Lukasz,Fabianski,GLK,SWA,4600000,9,57,4.4,9.56521739130435E-07,1.23913043478261E-05,0,160120,0,15,0,51,0,0,0,12.4,8119,1,0,57,-1,1,0,4.7,5,0,5,0,0,7.8,329793,0,0,0,2,1170,6509,0,0,278,Chelsea,Stoke,West Brom,Man City,Everton,5.4,5.2,5.8,3.7,4,6.5,4.6,6.3,5.1,4.8,5.8,5.9,4.4,4.9,5.5,6,5.3,4.8,3.6,5.4,4.5,4.1,4.5,4.9,5.2,35.4
Cesc,Fabregas,MID,CHE,6900000,1,40,3.3,4.78260869565217E-07,5.79710144927536E-06,0,509374,1,9,0,0,0,1,0,5.8,15900,-1,0,40,1,0.6,0,4,3,0,5,0,3,4.9,333142,0,0,0,1,879,15421,0,1,208,Swansea,Newcastle,West Ham,Huddersfield,Southampton,3.3,3.4,3.1,3,2.6,3.8,2.6,2.8,2.4,3,2.7,3.2,3.3,3.2,2,2.1,3.6,3.2,2.5,3.5,3.2,3.6,4,2.8,3.3,94.7
Adam,Federici,GLK,BOU,4000000,0,0,0,0,0,0,108118,0,0,0,0,0,0,0,0,2242,0,0,0,0,0,0,0,0,0,0,0,0,2.8,12118,0,0,0,0,0,106,0,0,0,Burnley,Southampton,Crystal Palace,Man Utd,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane,Feghouli,MID,WHU,5500000,0,0,0,0,0,0,1389,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,Everton,Man City,Chelsea,Arsenal,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marouane,Fellaini,MID,MUN,4900000,1,32,2.46153846153846,5.02354788069074E-07,6.53061224489796E-06,0,166593,1,0,0,0,0,3,0,6.5,6120,-1,0,32,1,0.1,0,0.7,3,0,3,0,0,1.2,188078,0,0,0,1,373,1515,0,0,110,Watford,Arsenal,Man City,Bournemouth,West Brom,1.4,1.2,1.5,2.7,1.2,1.3,2.3,2.2,1.6,2.3,1.3,1.2,2.9,1.4,1.9,1.2,2.4,1.3,2.7,1.2,2.6,1.5,2.9,1.2,1.7,43.7
