"","id","name","type"
"218","sr:player:937000","Nketiah, Edward","forward"
"219","sr:player:937002","Willock, Joe","midfielder"
"220","sr:player:20581","Elliot, Robert","goalkeeper"
"221","sr:player:45680","Clark, Ciaran","defender"
"222","sr:player:185995","Dummett, Paul","defender"
"223","sr:player:153444","Lascelles, Jamaal","defender"
"224","sr:player:372336","Murphy, Jacob","midfielder"
"225","sr:player:36465","Shelvey, Jonjo","midfielder"
"226","sr:player:232118","Gayle, Dwight","forward"
"227","sr:player:14209","Diame, Mohamed","midfielder"
"228","sr:player:42699","Ritchie, Matt","midfielder"
"229","sr:player:42209","Dubravka, Martin","goalkeeper"
"230","sr:player:190843","Hayden, Isaac","midfielder"
"231","sr:player:338849","Kenedy","midfielder"
"232","sr:player:345195","Perez, Ayoze","forward"
"233","sr:player:238612","Mbemba, Chancel","defender"
"234","sr:player:210082","Manquillo, Javi","defender"
"235","sr:player:88528","Lejeune, Florian","defender"
"236","sr:player:69418","Joselu","forward"
"237","sr:player:314040","Yedlin, DeAndre","defender"
"238","sr:player:592010","Merino, Mikel","midfielder"
"239","sr:player:143344","Haidara, Massadio","defender"
"240","sr:player:123689","Darlow, Karl","goalkeeper"
"241","sr:player:13193","Gamez, Jesus","defender"
"242","sr:player:152390","Atsu, Christian","midfielder"
"243","sr:player:1094998","El-Mhanni, Yasin Ben","midfielder"
"244","sr:player:151556","Good, Curtis","defender"
"245","sr:player:284451","Gilliead, Alex","forward"
"246","sr:player:238708","Slimani, Islam","forward"
"247","sr:player:1076","Schmeichel, Kasper","goalkeeper"
"248","sr:player:30502","Simpson, Danny","defender"
"249","sr:player:754594","Chilwell, Ben","defender"
"250","sr:player:20375","Morgan, Wes","defender"
"251","sr:player:1203","Huth, Robert","defender"
"252","sr:player:355152","Gray, Demarai","midfielder"
"253","sr:player:359642","Iheanacho, Kelechi","forward"
"254","sr:player:173827","Vardy, Jamie","forward"
"255","sr:player:47737","Albrighton, Marc","midfielder"
"256","sr:player:16807","Hamer, Ben","goalkeeper"
"257","sr:player:30127","Silva, Adrien","midfielder"
"258","sr:player:149380","Maguire, Harry","defender"
"259","sr:player:37313","Dragovic, Aleksandar","defender"
"260","sr:player:4387","Jakupovic, Eldin","goalkeeper"
"261","sr:player:308526","Amartey, Daniel","midfielder"
"262","sr:player:19303","Okazaki, Shinji","forward"
"263","sr:player:32690","Iborra, Vicente","midfielder"
"264","sr:player:54331","James, Matty","midfielder"
"265","sr:player:795266","Ndidi, Onyinye","midfielder"
"266","sr:player:158213","Mahrez, Riyad","midfielder"
"267","sr:player:1262","Fuchs, Christian","defender"
"268","sr:player:21515","Benalouane, Yohan","defender"
"269","sr:player:362692","Thomas, George","midfielder"
"270","sr:player:1055187","Barnes, Harvey","midfielder"
"271","sr:player:843513","Diabate, Fousseni","forward"
"272","sr:player:1266842","Knight, Josh","defender"
