FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Ruben,Loftus-Cheek,MID,CRY,4500000,5,14,0.466666666666667,1.03703703703704E-07,3.11111111111111E-06,0,401151,0,13,0,0,0,0,0,3.1,8608,0,0,14,0,0.4,0,2,0,0,0,0,1,5.3,155564,0,0,0,0,450,6948,0,0,83,Tottenham,Everton,Stoke,Brighton,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,29.4
Jason,Lokilo,MID,CRY,4400000,0,0,0,0,0,0,12471,0,0,0,0,0,0,0,0,423,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,12758,0,0,0,0,0,131,0,0,0,Tottenham,Everton,Stoke,Brighton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Lolley,MID,HUD,4400000,0,0,0,0,0,0,3413,0,0,0,0,0,0,0,0,148,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3268,0,0,0,0,0,90,0,0,0,West Brom,Bournemouth,Man City,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin,Long,DEF,BUR,3900000,0,0,0,0,0,0,87391,0,0,0,0,0,0,0,0,4149,-1,0,0,1,0,0,0,0,0,0,0,0,2.4,55723,0,0,0,0,0,8406,0,0,0,Southampton,Swansea,Arsenal,Bournemouth,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane,Long,FWD,SOU,5800000,1,18,2,3.44827586206897E-07,3.10344827586207E-06,0,29083,2,5,0,0,0,0,0,3.1,1885,-2,0,18,2,0.5,0,2.7,0,0,2,0,2,0.4,13694,0,0,0,0,486,761,0,0,44,Burnley,Liverpool,Everton,Man City,Bournemouth,1.3,1.2,2.1,1.3,1.9,1.7,1.5,1.5,1.5,1.3,1,2.2,2.2,1,1.6,1.5,1.8,1.4,1.8,1.3,1.6,1.4,1,1,1.4,1.8,2,1.1,30.7
Ademola,Lookman,MID,EVE,5200000,0,1,0.0333333333333333,6.41025641025641E-09,1.92307692307692E-07,0,7078,0,2,0,0,0,0,0,0.2,204,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.1,1094,0,0,0,0,16,66,0,0,5,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Jonas,Lossl,GLK,HUD,4600000,8,48,4.8,1.04347826086957E-06,1.04347826086957E-05,0,152355,0,13,0,27,0,0,0,10.4,5941,1,0,48,-1,1,0,4.7,4,0,4,0,1,8.9,405256,0,0,1,1,900,34354,0,0,222,West Brom,Bournemouth,Man City,Arsenal,Everton,7.2,5,5,3.5,3.9,7.1,5.5,6.8,5.6,6.4,6.6,3.6,7.2,4.9,7.1,3.3,6.5,5.2,5.2,5.2,7.2,4.3,5.2,6.1,5.5,5.9,3.9,7.2,26.4
Dejan,Lovren,DEF,LIV,5400000,0,16,2.3,4.25925925925926E-07,2.96296296296296E-06,0,69329,2,8,0,0,0,0,0,3,4662,-1,0,16,1,0.4,0,2.3,1,0,2,0,0,0.8,11815,0,0,0,0,482,103,0,0,92,West Ham,Southampton,Chelsea,Stoke,Brighton,0,2.2,2,1.2,1.4,2.2,2.9,1.3,1.2,1.8,2.1,1.3,1.8,1.2,1.3,2.2,1.5,2.9,2.7,1.2,2.3,2.2,1.2,2.5,1.4,2.4,1.5,2.8,17.8
Chris,Lowe,DEF,HUD,4500000,1,36,3.6,8E-07,8E-06,0,107395,0,8,0,0,0,0,0,8,8246,0,0,36,0,0.3,0,1.3,0,0,5,0,0,4.1,259011,0,0,0,0,760,12802,0,0,156,West Brom,Bournemouth,Man City,Arsenal,Everton,5,3.2,3.3,2.2,2.4,4.9,3.6,4.6,3.7,4.3,4.5,2.2,5,3.2,4.9,2,4.4,3.4,3.4,3.4,5.4,2.7,3.4,4.1,3.6,3.9,2.4,5,15.2
Matthew,Lowton,DEF,BUR,4500000,8,39,3.9,8.66666666666667E-07,8.66666666666667E-06,0,33501,0,9,0,0,0,0,0,8.7,2986,0,0,39,0,0.8,0,3.7,2,0,4,0,1,1.8,71531,0,0,0,0,900,20865,0,0,177,Southampton,Swansea,Arsenal,Bournemouth,Leicester,4.5,3.6,5.3,4,2.9,4.3,4.6,4.2,4.1,2.6,4.1,5.2,4.7,4.3,3.4,3.4,3.8,4.2,4.1,3.9,3.8,4.2,5.4,4.1,3.9,5.2,2.8,4.7,28.9
Leiva,Lucas,MID,LIV,4500000,0,0,0,0,0,0,955,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,10,0,0,0,West Ham,Southampton,Chelsea,Stoke,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romelu,Lukaku,FWD,MUN,11600000,5,62,6.2,5.3448275862069E-07,5.3448275862069E-06,0,1201951,1,4,0,0,0,7,0,5.3,217900,1,1,62,-1,0.3,1,4,8,0,8,0,3,48.7,1180372,0,0,0,2,900,33836,-1,0,222,Chelsea,Newcastle,Brighton,Watford,Arsenal,6.4,9.3,9.3,8.4,4.4,7.9,9.3,6.4,6,8.6,8,6.6,9.2,6,5.8,9.3,5.7,7.2,6.4,9.3,6,7.9,5.8,9.3,6.8,9.3,6.6,8.2,106.9
Levi,Lumeka,MID,CRY,4500000,0,1,0.0333333333333333,7.40740740740741E-09,2.22222222222222E-07,0,276,0,0,0,0,0,0,0,0.2,26,0,0,1,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,25,16,0,0,3,Tottenham,Everton,Stoke,Brighton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
Matt,Macey,GLK,ARS,5000000,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,30,0,0,0,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niki,Maenpaa,GLK,BHA,4000000,0,0,0,0,0,0,26578,0,0,0,0,0,0,0,0,1383,0,0,0,0,0,0,0,0,0,0,0,0,1.2,20613,0,0,0,0,0,397,0,0,0,Swansea,Stoke,Man Utd,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry,Maguire,DEF,LEI,5100000,6,43,4.3,8.43137254901961E-07,8.43137254901961E-06,0,210117,0,14,0,0,0,1,0,8.4,12567,1,0,43,-1,0.6,0,3.3,4,0,3,0,2,7.5,433692,0,0,0,1,900,22419,0,0,223,Stoke,Man City,West Ham,Tottenham,Burnley,4.2,4.3,4.1,5,5.7,3.6,4.8,6.4,5.2,5.9,3.3,6.2,4.7,5.3,3.2,4.4,3.3,5.5,5.6,4.5,6.3,4.5,6,4.4,5.1,4.8,6.2,4.5,46
Riyad,Mahrez,MID,LEI,8400000,6,49,4.9,5.83333333333333E-07,5.83333333333333E-06,0,241420,0,13,0,0,0,1,0,5.8,11859,-1,0,49,1,1,0,8,5,0,2,0,6,4.9,282045,0,0,0,1,775,48828,0,0,158,Stoke,Man City,West Ham,Tottenham,Burnley,4.5,4.2,4.7,5.1,6.2,4.4,5.1,7,5.8,5.3,3.4,6.7,5.2,4.6,5.5,6.6,3.1,6.1,6.9,4.2,7.3,4,7,4.7,5.5,4.8,7.1,4.4,61.4
