FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Ilkay,Gundogan,MID,MCI,5300000,1,45,1.73076923076923,3.2656023222061E-07,8.49056603773585E-06,0,80484,1,8,0,0,0,2,0,8.5,3194,-2,0,45,2,0.7,0,3.8,5,0,2,0,2,0.9,101800,0,0,0,2,701,3363,0,0,198,Leicester,Arsenal,Chelsea,Stoke,Brighton,1.2,0.9,1,0.9,1.2,1.2,0.9,0.9,1.2,1,1.5,1,65
Florent,Hadergjonaj,DEF,HUD,4500000,1,21,0.807692307692308,1.79487179487179E-07,4.66666666666667E-06,0,1597,1,19,0,0,0,0,0,4.7,19,0,0,21,0,0.2,0,0.8,2,0,1,0,1,0,1938,0,0,0,0,780,30,0,0,138,Bournemouth,West Brom,Tottenham,Swansea,Crystal Palace,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.5,0.4,0.4,0.4,0.6,30.2
Massadio,Haidara,DEF,NEW,3900000,0,0,0,0,0,0,98005,0,0,0,0,0,0,0,0,1333,-1,0,0,1,0,0,0,0,0,0,0,0,1.7,104766,0,0,0,0,0,1996,0,0,0,Man Utd,Bournemouth,Liverpool,Southampton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead,Haksabanovic,MID,WHU,5000000,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,4,0,0,0,Watford,Liverpool,Swansea,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Hamer,GLK,LEI,4400000,0,0,0,0,0,0,2061,0,0,0,0,0,0,0,0,25,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,832,0,0,0,0,0,17,0,0,0,Man City,Stoke,Bournemouth,West Brom,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,Hanley,DEF,NEW,4000000,0,0,0,0,0,0,84949,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5773,0,0,0,0,0,5,0,0,0,Man Utd,Bournemouth,Liverpool,Southampton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0
Rekeem,Harper,MID,WBA,4500000,0,1,0.0384615384615385,8.54700854700855E-09,2.22222222222222E-07,0,2162,0,0,0,0,0,0,0,0.2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1367,0,0,0,0,20,9,0,0,6,Chelsea,Huddersfield,Watford,Leicester,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,2.7
Joe,Hart,GLK,WHU,4300000,0,45,3.2,7.44186046511628E-07,1.04651162790698E-05,0,497620,0,30,0,39,0,0,0,10.5,2626,-2,0,45,2,0,0,0,3,0,3,0,1,5.2,148798,0,0,1,1,1260,600,0,0,261,Watford,Liverpool,Swansea,Burnley,Man Utd,3.9,2.8,2.5,3.8,3.7,3.7,2.9,4,2.6,3.1,2.3,3.2,30.2
Jakob,Haugaard,GLK,STK,4000000,0,0,0,0,0,0,2254,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5094,0,0,0,0,0,88,0,0,0,Brighton,Leicester,Southampton,Man City,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac,Hayden,MID,NEW,4400000,1,35,1.8,4.09090909090909E-07,7.95454545454546E-06,0,26931,7,22,0,0,0,1,0,8,154,-1,0,35,1,0.2,0,0.8,0,0,3,0,0,0.2,25236,0,0,0,0,1297,102,0,0,152,Man Utd,Bournemouth,Liverpool,Southampton,Tottenham,1,1.2,0.9,1.1,0.9,1.6,1,1.4,1.3,1.5,1,1,56
Eden,Hazard,MID,CHE,10700000,8,122,5.5,5.14018691588785E-07,1.14018691588785E-05,0,1031649,1,16,0,0,0,9,0,11.4,12623,2,0,122,-2,0.6,0,6.8,19,0,8,0,4,8.2,1315433,0,0,0,4,1518,8258,0,0,456,West Brom,Man Utd,Man City,Crystal Palace,Burnley,7.5,4.2,4.3,6.8,6,6.1,7.3,6.1,7.9,6.3,5.7,6.6,203.3
Tom,Heaton,GLK,BUR,4700000,0,8,0.307692307692308,6.54664484451719E-08,1.70212765957447E-06,0,361349,0,4,0,8,0,0,0,1.7,482,-3,0,8,3,0,0,0,0,0,0,0,0,1.5,18829,0,0,0,0,305,26,0,0,48,Swansea,Southampton,Everton,West Ham,Chelsea,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.3
Michael,Hefele,DEF,HUD,4200000,0,1,0.0384615384615385,9.15750915750916E-09,2.38095238095238E-07,0,8782,1,1,0,0,0,0,0,0.2,21,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,2550,0,0,0,0,32,24,0,0,1,Bournemouth,West Brom,Tottenham,Swansea,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.4
